date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,16.24397619047617,11.290547619047606,199.92564625850318,3.4459693877550976,1.0498843537414955,73.12748299319719,19,16,10,73,1,4,73
2022-09-02,18.081350340136034,12.600772108843522,203.3350340136052,2.8410272108843504,1.0649625850340123,85.72142857142848,21,18,10,86,1,4,86
2022-09-03,12.62769047619046,8.824486394557812,227.84710884353717,3.0214727891156428,1.5059931972789098,88.17316326530602,15,13,11,88,2,4,88
2022-09-04,13.703047619047602,9.489023809523799,236.26139455782285,3.0752823129251663,1.1900544217687061,92.02367346938765,16,14,12,92,1,4,92
2022-09-05,10.373615646258491,7.229891156462576,215.84772108843512,3.2603333333333295,0.8519727891156452,82.51986394557814,12,10,11,83,1,4,83
2022-09-06,11.080442176870735,7.757193877551011,217.6093877551018,4.406833333333329,0.7301462585034005,66.15517006802713,13,11,11,66,1,6,66
2022-09-07,12.873836734693862,8.951010204081621,188.8255782312923,3.1399489795918334,0.5827312925170061,55.79282312925164,15,13,9,56,1,4,56
2022-09-08,13.231955782312909,9.245102040816317,216.09829931972763,2.0027312925170047,0.5130918367346933,71.15425170068019,15,13,11,71,1,3,71
2022-09-09,17.26036054421767,12.049823129251687,215.8300340136052,2.2340170068027185,0.9898503401360532,80.2587074829931,20,17,11,80,1,3,80
2022-09-10,13.743081632653045,9.601108843537403,232.36622448979563,2.0625544217687053,0.9578945578231282,81.20904761904752,16,14,12,81,1,3,81
2022-09-11,10.507914965986382,7.302499999999991,219.70125850340114,2.829530612244895,0.9056768707482982,70.40792517006794,12,11,11,70,1,4,70
2022-09-12,7.889238095238086,5.476993197278905,144.62799319727876,2.668925170068024,0.8043503401360534,52.93581632653055,9,8,7,53,1,3,53
2022-09-13,7.790520408163256,5.453608843537409,150.87037414965968,3.452690476190472,0.8257482993197268,46.44959183673464,9,8,8,46,1,4,46
2022-09-14,9.703676870748287,6.753275510204074,162.4008843537413,2.7189931972789085,1.0072993197278899,65.33846938775503,11,10,8,65,1,3,65
2022-09-15,10.164190476190464,7.09948299319727,202.16013605442154,3.4060238095238056,1.0245374149659852,70.28391156462577,12,10,10,70,1,4,70
2022-09-16,14.097612244897944,9.802234693877539,221.87928571428543,3.1987278911564587,1.177615646258502,81.74768707482984,16,14,11,82,1,4,82
2022-09-17,17.716690476190454,12.28941496598638,244.94840136054393,3.077564625850336,1.214207482993196,85.53598639455772,20,18,12,86,2,4,86
2022-09-18,17.562731292516986,12.235901360544204,250.18911564625822,3.3380102040816286,0.9522789115646247,85.5012244897958,20,18,13,86,1,4,86
2022-09-19,11.867367346938762,8.29280612244897,205.93071428571406,3.3110748299319686,0.6798979591836726,70.30959183673461,14,12,10,70,1,4,70
2022-09-20,12.476108843537402,8.571683673469378,183.56965986394536,2.851928571428568,0.8377789115646248,69.58448979591829,14,12,9,70,1,4,70
2022-09-21,11.793020408163253,8.115098639455773,179.6315306122447,2.8305340136054387,0.6448537414965979,73.48520408163257,14,12,9,73,1,4,73
2022-09-22,15.005459183673452,10.21892857142856,184.3424149659862,2.8732278911564593,0.6453809523809516,76.4811224489795,17,15,9,76,1,4,76
2022-09-23,14.355683673469372,9.883088435374138,187.30683673469366,3.1279557823129216,0.6530238095238087,71.2509523809523,16,14,9,71,1,4,71
2022-09-24,17.088755102040796,11.804683673469375,202.05931972789094,3.926588435374145,0.5363163265306116,65.45309523809516,20,17,10,65,1,5,65
2022-09-25,17.48286054421767,12.118455782312912,222.4086054421766,4.295588435374145,0.537744897959183,65.47914965986388,20,17,11,65,1,5,65
2022-09-26,17.54822789115644,12.090363945578218,229.56826530612219,4.197996598639452,0.9127244897959171,70.2394217687074,20,18,11,70,1,5,70
2022-09-27,16.1042551020408,11.161499999999988,239.87404761904733,3.2128537414965948,0.5235068027210878,76.65051020408154,19,16,12,77,1,4,77
2022-09-28,16.47867687074828,11.497836734693863,273.1017006802718,4.065784580498861,0.6235204081632646,75.01710884353732,19,16,14,75,1,5,75
2022-09-29,16.097258503401342,11.248976190476178,258.5350340136052,3.074030612244894,0.5729183673469381,78.44683673469379,19,16,13,78,1,4,78
2022-09-30,17.095190476190457,11.953027210884338,277.3429931972786,3.709833333333329,0.7956496598639448,71.68241496598631,20,17,14,72,1,5,72
2022-10-01,14.830493197278896,10.357527210884342,267.53843537414934,3.4661496598639414,0.6903435374149652,70.24401360544209,17,15,13,70,1,4,70
2022-10-02,17.371442176870726,12.129877551020392,262.4240476190473,2.866442176870745,0.8741972789115634,74.06530612244889,20,17,13,74,1,4,74
2022-10-03,14.94021428571427,10.462108843537402,293.3228911564623,4.657802721088429,1.0372789115646246,57.19112244897952,17,15,15,57,1,6,57
2022-10-04,15.303870748299301,10.561496598639444,209.65877551020387,4.830757369614507,0.8544897959183664,46.734285714285654,18,15,10,47,1,6,47
2022-10-05,18.55105782312923,12.663829931972776,178.92302721088413,3.519795918367343,1.1479965986394545,56.90370748299313,21,19,9,57,1,4,57
2022-10-06,16.948306122448958,11.771782312925156,196.56547619047595,3.479802721088431,0.8046292517006793,67.94170068027204,20,17,10,68,1,4,68
2022-10-07,17.662438775510182,12.24863265306121,204.94401360544194,5.041639455782307,0.6856190476190468,45.17775510204077,20,18,10,45,1,6,45
2022-10-08,19.538030612244878,13.58297278911563,199.34367346938754,3.5340578231292477,1.0450170068027198,70.13676870748291,23,20,10,70,1,4,70
2022-10-09,20.564125850340112,14.290306122448962,215.38207482993172,3.6929931972789074,2.343853741496596,77.4250680272108,24,21,11,77,3,5,77
2022-10-10,16.5420476190476,11.537336734693865,214.37506802721063,2.9074863945578198,1.614765306122447,80.4878911564625,19,17,11,80,2,4,80
2022-10-11,13.055860544217671,9.111482993197269,184.0420408163263,3.3641938775510165,1.2598435374149644,70.37187074829923,15,13,9,70,2,4,70
2022-10-12,15.436918367346921,10.739193877551008,178.8765306122447,3.7205782312925124,1.0927823129251688,66.56853741496592,18,15,9,67,1,5,67
2022-10-13,15.333785714285696,10.669999999999987,174.84965986394536,3.454074829931969,0.7426768707482984,65.48602040816318,18,15,9,65,1,4,65
2022-10-14,22.811908163265283,15.89731292517005,228.55921768707458,4.2860691609977275,1.1596734693877537,69.88391156462576,26,23,11,70,1,5,70
2022-10-15,27.76239795918364,19.346625850340114,254.77115646258474,3.7459081632653017,1.4021088435374134,85.14911564625841,32,28,13,85,2,5,85
2022-10-16,21.90900340136052,15.310928571428555,244.50292517006775,4.067604308390018,1.4202176870748282,79.79561224489787,26,22,12,80,2,5,80
2022-10-17,25.00234013605439,17.45396258503399,275.1376870748296,4.2096077097505615,1.371663265306121,74.2496598639455,29,25,14,74,2,5,74
2022-10-18,19.876336734693854,13.902782312925154,224.17806122448954,3.7398537414965944,0.7749421768707473,73.36221088435366,23,20,11,73,1,5,73
2022-10-19,17.712761904761887,12.375663265306109,197.37102040816305,3.198911564625847,0.4911326530612239,72.05809523809515,21,18,10,72,1,4,72
2022-10-20,18.30064625850338,12.79153741496597,213.88517006802695,3.849970521541945,0.7382074829931963,69.39986394557815,21,18,11,69,1,5,69
2022-10-21,14.379146258503384,10.024833333333321,185.6299319727889,3.224574829931969,0.8882244897959173,71.54180272108836,17,14,9,72,1,4,72
2022-10-22,12.483272108843522,8.703462585034003,178.95527210884333,3.9237834467120134,0.9115612244897949,75.28282312925161,15,12,9,75,1,5,75
