date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,94.39999999999999,56.27916666666667,772.7083333333334,37.34117647058824,32.4,74.875,94,94.0,39.0,75,40.0,47,94.0
2022-09-02,84.02083333333333,52.6,722.875,36.0,28.2375,76.91666666666667,88,84.0,36.0,77,35.0,45,88.0
2022-09-03,61.00833333333333,31.954166666666666,541.1666666666666,34.9375,20.349999999999998,68.33333333333333,53,61.0,27.0,68,25.0,44,68.0
2022-09-04,55.550000000000004,26.420833333333334,417.5833333333333,30.304166666666664,16.608333333333334,62.208333333333336,44,56.0,21.0,62,21.0,38,62.0
2022-09-05,84.325,48.21666666666667,629.5833333333334,22.8,26.59583333333333,66.83333333333333,80,84.0,31.0,67,33.0,29,84.0
2022-09-06,116.74583333333334,71.61666666666666,977.3333333333334,24.82,39.27916666666667,86.625,139,111.0,49.0,87,49.0,31,139.0
2022-09-07,99.97916666666667,62.137499999999996,642.75,28.811764705882354,27.5,94.70833333333333,107,100.0,32.0,95,34.0,36,107.0
2022-09-08,88.2,57.270833333333336,552.375,16.663157894736845,14.35,98.66666666666667,95,88.0,28.0,99,18.0,21,99.0
2022-09-09,70.04583333333333,47.449999999999996,513.25,19.142857142857142,15.895833333333334,87.45833333333333,79,70.0,26.0,87,20.0,24,87.0
2022-09-10,55.65416666666667,37.550000000000004,410.75,18.629166666666666,9.933333333333334,89.33333333333333,63,56.0,21.0,89,12.0,23,89.0
2022-09-11,41.75833333333333,28.129166666666666,371.5,12.604166666666666,11.108333333333334,88.0,47,42.0,19.0,88,14.0,16,88.0
2022-09-12,40.34166666666667,26.474999999999998,353.0416666666667,12.950000000000001,12.475,84.41666666666667,44,40.0,18.0,84,16.0,16,84.0
2022-09-13,26.979166666666668,14.7875,241.125,7.083333333333333,6.479166666666667,75.79166666666667,25,27.0,12.0,76,8.0,9,76.0
2022-09-14,21.59166666666667,12.566666666666668,257.2916666666667,6.808333333333334,4.1000000000000005,71.5,21,22.0,13.0,72,5.0,9,72.0
2022-09-15,22.045833333333334,14.391666666666666,312.7083333333333,10.595833333333333,4.558333333333333,66.66666666666667,24,22.0,16.0,67,6.0,13,67.0
2022-09-16,28.195833333333336,19.341666666666665,337.7083333333333,14.241666666666667,6.754166666666666,66.16666666666667,32,28.0,17.0,66,8.0,18,66.0
2022-09-17,56.1,37.9,523.875,30.5125,26.229166666666668,75.70833333333333,63,56.0,26.0,76,33.0,38,76.0
2022-09-18,118.925,77.92173913043479,850.7083333333334,24.1,33.09130434782609,92.125,160,113.0,43.0,92,41.0,30,160.0
2022-09-19,106.75,73.35833333333333,806.5,32.84705882352941,22.09583333333333,88.70833333333333,145,104.0,40.0,89,28.0,41,145.0
2022-09-20,77.08333333333333,53.762499999999996,553.25,24.008333333333336,10.095833333333333,88.29166666666667,90,77.0,28.0,88,13.0,30,90.0
2022-09-21,71.46666666666667,49.49583333333334,581.4166666666666,30.729166666666668,13.841666666666667,71.875,82,71.0,29.0,72,17.0,38,82.0
2022-09-22,43.20416666666667,28.825,378.125,12.095833333333333,5.841666666666666,81.33333333333333,48,43.0,19.0,81,7.0,15,81.0
2022-09-23,34.612500000000004,22.47083333333333,357.625,10.020833333333334,6.691666666666666,89.54166666666667,37,35.0,18.0,90,8.0,13,90.0
2022-09-24,31.066666666666666,20.191666666666666,320.5,11.283333333333333,6.354166666666667,75.08333333333333,34,31.0,16.0,75,8.0,14,75.0
2022-09-25,52.012499999999996,33.71666666666667,430.5416666666667,15.9125,10.070833333333333,88.54166666666667,56,52.0,22.0,89,13.0,20,89.0
2022-09-26,79.55833333333334,48.05416666666667,651.9583333333334,26.961111111111112,35.5875,76.83333333333333,80,80.0,33.0,77,44.0,34,80.0
2022-09-27,104.89166666666667,63.520833333333336,784.4166666666666,26.892857142857142,37.88333333333333,69.5,112,103.0,39.0,70,47.0,34,112.0
2022-09-28,108.05833333333334,69.78333333333333,763.25,25.5,34.46666666666667,82.625,133,105.0,38.0,83,43.0,32,133.0
2022-09-29,118.93333333333334,79.37083333333334,813.5,24.876923076923074,36.333333333333336,84.33333333333333,165,113.0,41.0,84,45.0,31,165.0
