date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,16.229013516590275,11.280317731500737,199.86780785783654,3.4456616243231903,1.0514464362071336,73.14648365958611,19,16,10,73,1,4,73
2022-09-02,18.079191039844467,12.599277781479907,203.34272347632884,2.8433299347494034,1.064689906983199,85.67852628071618,21,18,10,86,1,4,86
2022-09-03,12.628904495349131,8.82504899347492,227.89080646952607,3.0226948799111413,1.5065233680410905,88.18330412328176,15,13,11,88,2,4,88
2022-09-04,13.699745253366622,9.486803026516707,236.24232125503207,3.072392392058857,1.189653322226847,92.03514552269866,16,14,12,92,1,4,92
2022-09-05,10.3830732389282,7.236433555462984,215.85346594474473,3.261263504095508,0.8511187532972353,82.506058614466,12,10,11,83,1,4,83
2022-09-06,11.08667064001108,7.76183595168678,217.65798608912903,4.411481330001378,0.7305090323476313,66.12964528668594,13,11,11,66,1,6,66
2022-09-07,12.872560058309007,8.949965306122428,188.77944303762277,3.1369826572261483,0.5825159405803123,55.81115049285007,15,13,9,56,1,4,56
2022-09-08,13.221500172150462,9.237882890462286,216.07368899069783,2.00024985145078,0.5132913369429392,71.18266128002205,15,13,11,71,1,3,71
2022-09-09,17.262554213522105,12.051292850201278,215.8059882826595,2.235031567402466,0.98935401360544,80.24507774538368,20,17,11,80,1,3,80
2022-09-10,13.750996468138245,9.606631842287912,232.43137884214855,2.0639540385950252,0.957801388310424,81.175967402471,16,14,12,81,1,3,81
2022-09-11,10.492363320838514,7.291669329446047,219.63533930306767,2.827124881299452,0.9059110565042322,70.43474316257098,12,10,11,70,1,4,70
2022-09-12,7.892447199777852,5.47914857420518,144.65089215604576,2.6679182312925107,0.8044964542551697,52.955055976676256,9,8,7,53,1,3,53
2022-09-13,7.800498783840049,5.460607685686507,150.88647719005934,3.4555715757323253,0.8245589782035244,46.427117534360576,9,8,8,46,1,4,46
2022-09-14,9.701660377620414,6.752079025406065,162.38110367902223,2.7194825933638698,1.0086060086075224,65.33306655560169,11,10,8,65,1,3,65
2022-09-15,10.158428327085913,7.095312655837829,202.15646000277616,3.406327174788275,1.0254539580730226,70.2819083159793,12,10,10,70,1,4,70
2022-09-16,14.095152586422293,9.800666089129507,221.8855271137021,3.197100652505893,1.1769383617936942,81.76572447591262,16,14,11,82,1,4,82
2022-09-17,17.71752795224208,12.289846003054253,244.92164409273857,3.077577837012349,1.2135675413022322,85.5222127169233,20,18,12,86,2,4,86
2022-09-18,17.5598215632375,12.233932322643314,250.12687599611215,3.3384172511453483,0.9518370290156857,85.49848563098688,20,18,13,85,1,4,85
2022-09-19,11.86345419408577,8.289725705955833,205.94197759266922,3.3087374621685335,0.6814998417326098,70.33708579758418,14,12,10,70,1,4,70
2022-09-20,12.481857773150047,8.57575336109952,183.63607544078812,2.8525464889629255,0.8365726141885306,69.57242998750505,14,12,9,70,1,4,70
2022-09-21,11.786648238234042,8.110915432458679,179.63737251145312,2.831148549215598,0.6444141246702747,73.47732478134094,14,12,9,73,1,4,73
2022-09-22,15.01413330279047,10.225056034985398,184.38233233374942,2.875043293072324,0.6463622268499222,76.47656268221557,17,15,9,76,1,4,76
2022-09-23,14.363490170762148,9.888423195890578,187.29061032902914,3.1266459863945504,0.6529850673330541,71.2678581702067,16,14,9,71,1,4,71
2022-09-24,17.063691228654687,11.78689168679714,201.99394721643714,3.9250932250451105,0.5359269970845468,65.50017520477563,20,17,10,66,1,5,66
2022-09-25,17.512571647924435,12.139406911009273,222.4855607108144,4.299264811883927,0.5376695043731766,65.41085120088837,20,18,11,65,1,5,65
2022-09-26,17.531947374704945,12.07885660696929,229.54530354019104,4.194678714424536,0.9128490212411474,70.30068574205175,20,18,11,70,1,5,70
2022-09-27,16.111326913785884,11.166374910453952,239.88945045120033,3.2147268277106686,0.5241458197973055,76.61794377342757,19,16,12,77,1,4,77
2022-09-28,16.493047766208488,11.508299083715093,273.19181754824314,4.067192960340589,0.6231987088713021,74.9953178397888,19,16,14,75,1,5,75
2022-09-29,16.085741393863632,11.240812117173375,258.43960894071853,3.073131395251971,0.5723426322365667,78.43972003331926,19,16,13,78,1,4,78
2022-09-30,17.100827210884315,11.956614766069665,277.3792999861162,3.711658772733575,0.795607152575314,71.66345419963888,20,17,14,72,1,5,72
2022-10-01,14.839148782451721,10.3637646369568,267.5601964736909,3.468277306677765,0.6886606053033443,70.18963476329291,17,15,13,70,1,4,70
2022-10-02,17.352942851589575,12.117067396917923,262.35874149659804,2.8610748216021036,0.876447316395944,74.17723098708854,20,17,13,74,1,4,74
2022-10-03,14.94849437734274,10.467860671942223,293.39725175621203,4.662366944328741,1.0358450756629158,57.12916809662627,17,15,15,57,1,6,57
2022-10-04,15.28999685408854,10.552246086352884,209.59143073719235,4.8287878902309105,0.8556973344439797,46.76272811328602,18,15,10,47,1,6,47
2022-10-05,18.55691988060526,12.667170806608327,178.8983778980976,3.516738242398992,1.1488554574482828,56.945514563376236,21,19,9,57,1,4,57
2022-10-06,16.95982146605577,11.780235032625269,196.67217165070065,3.482663753991384,0.8037008635290833,67.90186436207121,20,17,10,68,1,4,68
2022-10-07,17.64079299458555,12.233458800499763,204.76858236845712,5.0375791142579365,0.6860881188393709,45.22224523115358,20,18,10,45,1,6,45
2022-10-08,19.547371970012453,13.589479544634147,199.43402623906658,3.536973233374974,1.0481383229210024,70.13245208940702,23,20,10,70,1,4,70
2022-10-09,20.556557995279697,14.285002240732995,215.33438386783234,3.68944077745383,2.3398558572816825,77.4137520755239,24,21,11,77,3,5,77
2022-10-10,16.528711050950957,11.528186289046204,214.38705186727702,2.9103864278772664,1.6153449396084927,80.47992181035661,19,17,11,80,2,4,80
2022-10-11,13.072449332222654,9.122844484242655,184.08729787588462,3.3646037151186925,1.260534582812714,70.35650681660402,15,13,9,70,2,4,70
2022-10-12,15.44831506872133,10.747278433985814,178.88387405247772,3.7211810717756406,1.0918789226711068,66.56025028460348,18,15,9,67,1,5,67
2022-10-13,15.32237311120363,10.661877359433545,174.85046461196683,3.453859819519637,0.7430483909482142,65.47890820491448,18,15,9,65,1,4,65
