time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01 00:00:00,17.764429820907917,12.36651182007494,216.4519456892956,2.2137578675551803,1.5509665639316914,74.85885880882948,21,18,11,75,2,3,75
2022-09-01 01:00:00,16.24055490212408,11.301614327363572,211.14676951270252,2.2436610079133645,1.6545462723865016,74.59140424822974,19,16,11,75,2,3,75
2022-09-01 02:00:00,14.164329596001632,9.8302144106622,200.99795285297745,2.255935960016654,1.787591570179088,74.4892021657641,16,14,10,74,2,3,74
2022-09-01 03:00:00,12.898626305705925,8.914678817159494,189.41822507288583,2.1740432153269422,1.7889262807163644,75.16891361932511,15,13,9,75,2,3,75
2022-09-01 04:00:00,12.586862673885852,8.696229237817555,179.3901021241145,1.971845131195331,1.572925880882962,76.83862324031635,14,13,9,77,2,2,77
2022-09-01 05:00:00,12.91433735943354,8.960207846730508,172.61455260308162,1.7131535193669265,1.2361001582673858,79.20233769262789,15,13,9,79,2,2,79
2022-09-01 06:00:00,13.926041882548905,9.690977159516844,170.46079333610953,1.5223602832153231,0.9748114285714262,81.76835251978324,16,14,9,82,1,2,82
2022-09-01 07:00:00,15.501072753019542,10.771297026239042,173.8522488962928,1.5120107955018705,0.9141329112869616,84.1731078717199,18,16,9,84,1,2,84
2022-09-01 08:00:00,16.71370015826735,11.572081699291935,181.3597581007909,1.7351693461057849,1.0114444314868782,86.08654394002477,19,17,9,86,1,2,86
2022-09-01 09:00:00,16.77460984589751,11.578525281132835,189.01246214077423,2.1784411828404773,1.1306331028738,86.9468661391085,19,17,9,87,1,3,87
2022-09-01 10:00:00,15.810984956268186,10.897908604747997,192.93621924198203,2.789088346522276,1.1746529612661365,85.87519200333176,18,16,10,86,1,3,86
2022-09-01 11:00:00,14.714968029987473,10.15387115368594,193.43438833819195,3.520187988338184,1.1515929029570984,82.52852111620139,17,15,10,83,1,4,83
2022-09-01 12:00:00,14.278652694710502,9.885616793002892,194.86467371928316,4.369804381507695,1.1088846980424796,77.64668188254876,16,14,10,78,1,5,78
2022-09-01 13:00:00,14.870662357351064,10.33299538525612,201.35330012494745,5.339629620991241,1.0606250062473943,72.64596351520183,17,15,10,73,1,7,73
2022-09-01 14:00:00,16.16806044148268,11.266003298625549,211.5979455226984,6.275331811745092,0.998897059558515,68.56244631403565,19,16,11,69,1,8,69
2022-09-01 15:00:00,17.40040629737606,12.14474722199081,220.1182407330273,6.824460208246549,0.9398877800916264,65.93603198667208,20,17,11,66,1,9,66
2022-09-01 16:00:00,17.878106055810044,12.480573561016216,222.48427688463084,6.687861924198237,0.9018604248229884,64.89924598084116,21,18,11,65,1,8,65
2022-09-01 17:00:00,17.696599416909578,12.334708338192392,219.31930095793365,5.9478678550603785,0.866506755518532,65.02407796751336,21,18,11,65,1,7,65
2022-09-01 18:00:00,17.538814560599707,12.207495743440203,214.13079083715067,4.9809617992503,0.8047672136609727,65.52375043731762,20,18,11,66,1,6,66
2022-09-01 19:00:00,17.89164614743852,12.45511110370676,209.98551403581797,4.123612827988328,0.710102790503955,65.52785206164081,21,18,10,66,1,5,66
2022-09-01 20:00:00,18.55874485630983,12.93961875885045,207.9352529779254,3.495654010828813,0.5915651145356087,64.37385689296113,22,19,10,64,1,4,64
2022-09-01 21:00:00,19.06464486463969,13.3072185922532,207.82984223240268,3.113624856309863,0.4626205747605152,61.95909770928765,22,19,10,62,1,4,62
2022-09-01 22:00:00,19.183177942523905,13.397955185339413,208.29537692628023,2.916246030820485,0.3870160099958341,60.01942790503942,22,19,10,60,0,4,60
2022-09-01 23:00:00,18.956290478967052,13.24146418992084,207.8374557267801,2.791169012911281,0.4536565764264878,60.86925181174496,22,19,10,61,1,3,61
2022-09-02 00:00:00,18.534337159516824,12.946094727196972,206.28193119533483,2.6491856393169453,0.7024720366513935,65.16154269054545,22,19,10,65,1,3,65
2022-09-02 01:00:00,18.11431850062469,12.636692378175727,205.0142354019154,2.506680016659719,1.0573421074552245,71.00818858808813,21,18,10,71,1,3,71
2022-09-02 02:00:00,17.97021547688459,12.500699175343575,204.2591906705535,2.36681102873802,1.3815546855476857,76.64701241149504,21,18,10,77,2,3,77
2022-09-02 03:00:00,18.229859358600542,12.6410082465639,202.22572861307745,2.171989271137021,1.5343631486880434,81.50925047896692,21,18,10,82,2,3,82
2022-09-02 04:00:00,18.716176926280674,12.961443398583892,197.1521812578088,1.8710300708038277,1.458655826738856,85.80881965847544,22,19,10,86,2,2,86
2022-09-02 05:00:00,19.028978725530987,13.193492044981229,189.96929279466843,1.5185422740524743,1.2191962015826712,89.52132877967493,22,19,9,90,2,2,90
2022-09-02 06:00:00,18.83954658892124,13.08767266972092,183.5358140774673,1.2196911953352738,0.970814294044146,92.73243748438132,22,19,9,93,1,2,93
2022-09-02 07:00:00,17.791488812994547,12.374510820491434,180.14526747188623,1.076555368596415,0.8133262473969161,95.29527896709683,21,18,9,95,1,1,95
2022-09-02 08:00:00,15.751903173677595,10.957400683048702,179.84258558933735,1.159760899625153,0.7380154269054542,96.74396468138256,18,16,9,97,1,1,97
2022-09-02 09:00:00,13.560473869221124,9.442469437734252,181.35806947105328,1.504406763848393,0.7042410329029554,96.53303057059536,16,14,9,97,1,2,97
2022-09-02 10:00:00,13.15242109121196,9.183215460224885,183.8628411495206,2.050743256976255,0.7308957267805063,94.87809879216972,15,13,9,95,1,3,95
2022-09-02 11:00:00,15.518481965847528,10.85479456892959,187.7069414410658,2.675029471053721,0.8493584339858372,92.72426622240712,18,16,9,93,1,3,93
2022-09-02 12:00:00,19.268716568096583,13.46210612244895,193.6961446064135,3.3001205497709205,1.035298359017074,90.99810878800476,22,19,10,91,1,4,91
2022-09-02 13:00:00,21.95068861307784,15.304572894627205,201.980003665139,3.95129436068304,1.2161754602249035,89.83553052894607,26,22,10,90,2,5,90
2022-09-02 14:00:00,22.796290412328144,15.876103290295674,211.28428554768797,4.601202698875459,1.325701690962096,88.90017759266952,26,23,11,89,2,6,89
2022-09-02 15:00:00,22.705084548104907,15.822834685547653,219.2283921699287,5.066090195751759,1.3203160016659692,88.04628471470201,26,23,11,88,2,6,88
2022-09-02 16:00:00,22.494400533111158,15.69916448146602,223.9711620158262,5.143715851728434,1.200147738442313,87.38066139108685,26,22,11,87,2,6,87
