date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,20.6875,13.9,275.7083333333333,13.716666666666667,9.745833333333334,26.208333333333332,23,21,14,26,12,17,26
2022-09-02,21.183333333333334,14.354166666666666,214.54166666666666,12.404166666666667,11.487499999999999,38.041666666666664,24,21,11,38,14,16,38
2022-09-03,32.7125,22.254166666666666,273.9166666666667,15.8375,14.279166666666667,50.5,37,33,14,50,18,20,50
2022-09-04,56.31666666666666,38.733333333333334,425.4583333333333,23.304166666666664,21.579166666666666,74.95833333333333,65,56,21,75,27,29,75
2022-09-05,49.95416666666667,34.11666666666667,456.5833333333333,26.849999999999998,16.4375,68.20833333333333,57,50,23,68,21,34,68
2022-09-06,55.762499999999996,37.895833333333336,784.125,33.12916666666667,17.141666666666666,37.208333333333336,63,56,39,37,21,41,63
2022-09-07,40.020833333333336,27.333333333333332,598.75,27.675,22.066666666666666,27.583333333333332,46,40,30,28,28,35,46
2022-09-08,33.358333333333334,22.916666666666668,527.0416666666666,34.608333333333334,16.779166666666665,33.875,38,33,26,34,21,43,43
2022-09-09,33.541666666666664,22.96666666666667,503.5,28.49166666666667,20.854166666666668,57.666666666666664,38,34,25,58,26,36,58
2022-09-10,19.037499999999998,12.691666666666668,327.5,18.066666666666666,11.637500000000001,36.416666666666664,21,19,16,36,15,23,36
2022-09-11,15.608333333333334,10.479166666666666,267.5,18.341666666666665,8.241666666666667,33.625,17,16,13,34,10,23,34
2022-09-12,23.204166666666666,14.8125,254.58333333333334,15.320833333333333,5.466666666666666,40.833333333333336,25,23,13,41,7,19,41
2022-09-13,25.083333333333332,16.245833333333334,257.4583333333333,15.720833333333333,6.179166666666667,41.833333333333336,27,25,13,42,8,20,42
2022-09-14,33.358333333333334,22.433333333333334,373.25,24.645833333333332,9.516666666666667,33.541666666666664,37,33,19,34,12,31,37
2022-09-15,46.5625,30.97083333333333,482.5833333333333,27.875,12.058333333333332,44.208333333333336,52,47,24,44,15,35,52
2022-09-16,51.93333333333334,34.15416666666667,402.8333333333333,21.849999999999998,15.275,65.33333333333333,57,52,20,65,19,27,65
2022-09-17,66.70416666666667,44.550000000000004,642.5416666666666,38.949999999999996,16.400000000000002,59.0,74,67,32,59,21,49,74
2022-09-18,70.85833333333333,48.54583333333333,796.6666666666666,45.583333333333336,29.42916666666667,65.375,81,71,40,65,37,57,81
2022-09-19,22.008333333333336,14.725,392.125,23.895833333333332,13.762500000000001,42.291666666666664,25,22,20,42,17,30,42
2022-09-20,22.8875,14.5,285.3333333333333,13.920833333333334,8.479166666666666,69.79166666666667,24,23,14,70,11,17,70
2022-09-21,25.974999999999998,16.8125,311.125,15.641666666666666,8.320833333333333,71.625,28,26,16,72,10,20,72
2022-09-22,33.99583333333333,21.900000000000002,323.0416666666667,18.045833333333334,9.891666666666667,61.625,37,34,16,62,12,23,62
2022-09-23,33.24166666666667,22.045833333333334,380.9583333333333,20.733333333333334,10.054166666666667,67.25,37,33,19,67,13,26,67
2022-09-24,40.766666666666666,27.462500000000002,428.875,25.708333333333332,11.441666666666668,63.458333333333336,46,41,21,63,14,32,63
2022-09-25,53.49583333333334,36.479166666666664,591.0416666666666,32.9125,16.370833333333334,46.416666666666664,61,53,30,46,20,41,61
2022-09-26,48.041666666666664,32.949999999999996,568.125,26.183333333333334,15.4,32.25,55,48,28,32,19,33,55
2022-09-27,48.6,33.475,582.5416666666666,31.90416666666667,16.191666666666666,44.125,56,49,29,44,20,40,56
2022-09-28,97.27083333333333,67.74166666666666,671.0666666666667,33.12307692307692,39.85,40.791666666666664,126,97,34,41,50,41,126
2022-09-29,108.96666666666665,76.07083333333334,1056.65,36.246153846153845,37.670833333333334,70.31818181818181,154,106,53,70,47,45,154
2022-09-30,153.0375,107.05,1135.0588235294117,37.66,48.07083333333333,69.6842105263158,257,135,57,70,60,47,257
2022-10-01,131.36521739130436,91.95217391304348,1061.952380952381,37.23888888888889,40.074999999999996,73.72222222222223,207,121,53,74,50,47,207
2022-10-02,82.02916666666667,57.35833333333333,868.5833333333334,32.21052631578947,29.583333333333332,79.52173913043478,96,82,43,80,37,40,96
2022-10-03,25.375,17.433333333333334,427.1666666666667,27.108333333333334,13.970833333333333,42.333333333333336,29,25,21,42,17,34,42
2022-10-04,26.0625,17.025000000000002,313.125,19.083333333333332,11.920833333333334,22.291666666666668,28,26,16,22,15,24,28
2022-10-05,22.066666666666666,14.766666666666666,325.2083333333333,17.995833333333334,12.654166666666667,28.416666666666668,25,22,16,28,16,22,28
2022-10-06,32.125,21.7625,448.7083333333333,18.3625,14.416666666666666,16.333333333333332,36,32,22,16,18,23,36
2022-10-07,82.19166666666666,56.90833333333333,433.14285714285717,29.894117647058824,28.59583333333333,26.208333333333332,95,82,22,26,36,37,95
2022-10-08,54.69583333333333,37.975,678.1666666666666,31.313636363636363,21.216666666666665,45.958333333333336,63,55,34,46,27,39,63
2022-10-09,44.8375,30.791666666666668,569.6666666666666,26.516666666666666,14.6625,28.125,51,45,28,28,18,33,51
2022-10-10,31.204166666666666,21.395833333333332,342.25,20.008333333333333,11.595833333333333,30.125,36,31,17,30,14,25,36
2022-10-11,31.766666666666666,21.866666666666664,395.9583333333333,22.929166666666664,11.854166666666666,35.75,36,32,20,36,15,29,36
2022-10-12,52.69166666666666,36.56666666666667,642.625,38.887499999999996,17.908333333333335,30.166666666666668,61,53,32,30,22,49,61
2022-10-13,71.39583333333333,49.62083333333334,828.5714285714286,34.693333333333335,25.84166666666667,32.833333333333336,83,71,41,33,32,43,83
2022-10-14,109.1375,76.28750000000001,928.1875,34.625,36.44166666666667,67.375,154,106,46,67,46,43,154
2022-10-15,154.36666666666667,108.02083333333333,1096.6666666666667,30.690000000000005,46.26666666666667,46.421052631578945,260,136,55,46,58,38,260
2022-10-16,115.56666666666666,80.75833333333334,919.6842105263158,32.47333333333333,41.7125,66.28571428571429,169,110,46,66,52,41,169
2022-10-17,142.73749999999998,99.77916666666665,889.4,29.399999999999995,49.733333333333334,70.91666666666667,233,128,44,71,62,37,233
2022-10-18,154.24583333333334,107.75833333333333,909.6153846153846,28.43333333333333,51.625,54.75,259,136,45,55,65,36,259
2022-10-19,152.8111111111111,110.78947368421052,981.5384615384615,27.42222222222222,42.45789473684211,57.68181818181818,269,135,49,58,53,34,269
2022-10-20,140.89166666666668,98.22083333333335,1087.6,35.315384615384616,42.512499999999996,64.86363636363636,227,127,54,65,53,44,227
2022-10-21,118.5625,82.70833333333333,1025.7826086956522,30.653333333333332,40.18333333333333,77.45833333333333,176,112,51,77,50,38,176
2022-10-22,88.75,62.074999999999996,824.0833333333334,31.470588235294116,35.025,76.20833333333333,107,89,41,76,44,39,107
2022-10-23,56.1875,39.2375,727.4583333333334,43.545,26.925,31.0,65,56,36,31,34,54,65
2022-10-24,32.699999999999996,22.883333333333336,453.4583333333333,35.204166666666666,23.9875,28.166666666666668,38,33,23,28,30,44,44
2022-10-25,59.69583333333333,41.7125,609.1666666666666,27.415,27.337500000000002,73.95833333333333,70,60,30,74,34,34,74
2022-10-26,104.72083333333335,72.8625,903.0,32.64,29.454166666666666,68.5,143,103,45,68,37,41,143
2022-10-27,133.88,93.41333333333334,827.9166666666666,30.59090909090909,45.65,53.38095238095238,211,123,41,53,57,38,211
2022-10-28,166.23999999999998,115.76,944.375,24.933333333333334,56.06153846153846,34.85,286,144,47,35,70,31,286
2022-10-29,160.60833333333332,112.10416666666667,975.7,23.885714285714283,44.725,60.666666666666664,274,140,49,61,56,30,274
2022-10-30,136.43333333333334,95.425,959.5384615384615,36.845454545454544,44.74166666666667,60.875,218,124,48,61,56,46,218
2022-10-31,128.67083333333332,90.0,1014.4615384615385,36.75,46.07916666666667,31.041666666666668,200,119,51,31,58,46,200
2022-11-01,124.33333333333333,86.95833333333333,1123.4,36.0625,48.78333333333333,38.208333333333336,190,116,56,38,61,45,190
2022-11-02,158.67916666666667,111.06666666666666,1014.7692307692307,34.08,52.4,48.42857142857143,270,139,51,48,65,43,270
2022-11-03,172.68,126.08181818181819,1161.3333333333333,43.010000000000005,55.58636363636364,54.18181818181818,305,148,58,54,69,54,305
2022-11-04,186.2875,128.7625,1027.0,29.028571428571432,52.647368421052626,39.3,307,158,51,39,66,36,307
2022-11-05,150.12,109.63125,874.1111111111111,27.485714285714288,42.758823529411764,52.27272727272727,265,133,44,52,53,34,265
