time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01 00:00:00,17.5505384394597,12.218801029094983,215.9576561004337,2.220395107752716,1.5661974634378488,74.79884495745797,20,18,11,75,2,3,75
2022-09-01 01:00:00,16.207010798833775,11.27555961206637,210.89381005533343,2.2461474233355085,1.6620087344558767,74.57563676087324,19,16,11,75,2,3,75
2022-09-01 02:00:00,14.268854289760178,9.900598272624473,201.03482828821265,2.251615800083292,1.781115714166711,74.52422300232024,17,14,10,75,2,3,75
2022-09-01 03:00:00,12.937893647170782,8.945182775748172,189.5280719890516,2.166333262093169,1.7733147683703172,75.21212030225479,15,13,9,75,2,3,75
2022-09-01 04:00:00,12.55603185720232,8.679170351401176,179.41853799012262,1.966652551912888,1.5643670927589652,76.85539847920488,14,13,9,77,2,2,77
2022-09-01 05:00:00,12.928556931754589,8.968916646635304,172.6527633676439,1.7141689362765462,1.2422106522282346,79.19135386922093,15,13,9,79,2,2,79
2022-09-01 06:00:00,13.995026995894529,9.734849639316923,170.662443543761,1.5274586617480763,0.9891851480930536,81.7654810876418,16,14,9,82,1,2,82
2022-09-01 07:00:00,15.48937999071811,10.761501610519394,174.07010869280606,1.5177072848217956,0.9221465722615548,84.19297085262068,18,15,9,84,1,2,84
2022-09-01 08:00:00,16.635143238888514,11.518759979532303,181.35146806925636,1.738541620991248,1.0080958381626677,86.11372290117185,19,17,9,86,1,2,86
2022-09-01 09:00:00,16.709041897304648,11.53426596822749,188.6543906515137,2.1779427448087034,1.121621543404531,86.90093339203878,19,17,9,87,1,3,87
2022-09-01 10:00:00,15.819560577378429,10.9051459434759,192.58870392574465,2.7852323074909178,1.1712807149402,85.78237810436104,18,16,10,86,1,3,86
2022-09-01 11:00:00,14.751265477479578,10.179530068185844,193.4542294424936,3.5198770321889583,1.1544501981317274,82.47053876123022,17,15,10,82,1,4,82
2022-09-01 12:00:00,14.337929264711088,9.925889949663802,195.32997772832687,4.383177866365193,1.1107715632772026,77.67927121794469,17,14,10,78,1,5,78
2022-09-01 13:00:00,14.90901984934844,10.359557357767567,201.71141845183496,5.356611236746579,1.0585589756648983,72.68849310882348,17,15,10,73,1,7,73
2022-09-01 14:00:00,16.161130717439118,11.26161132290114,211.50790606770929,6.2707634238114895,0.9987190879990452,68.5973642791692,19,16,11,69,1,8,69
2022-09-01 15:00:00,17.33311770571781,12.09761468340569,219.6851130885934,6.791761598381608,0.9430224796810828,65.98407791039428,20,17,11,66,1,8,66
2022-09-01 16:00:00,17.827749900398594,12.44293486095076,222.23705709287728,6.6626488182304815,0.9027819665615492,64.92999745344181,21,18,11,65,1,8,65
2022-09-01 17:00:00,17.713402289998164,12.34706566930442,219.35707613256315,5.951297688820118,0.8645764226810232,65.03124658059122,21,18,11,65,1,7,65
2022-09-01 18:00:00,17.597378330457495,12.249848113762088,214.3035038448259,4.999530599393095,0.8034308733265878,65.50593169036689,20,18,11,66,1,6,66
2022-09-01 19:00:00,17.915570418992033,12.473613771404736,210.08853813768013,4.132466561789718,0.7097243824596873,65.47986417088097,21,18,11,65,1,5,65
2022-09-01 20:00:00,18.53737649122384,12.923003499018227,208.04014493008805,3.5023241972987336,0.5872553616945302,64.21626941155452,22,19,10,64,1,4,64
2022-09-01 21:00:00,19.04166361159035,13.290967929077134,207.84017050038617,3.1180022152674387,0.4604641475575638,61.90950762896394,22,19,10,62,1,4,62
2022-09-01 22:00:00,19.1738858028202,13.391208316534742,208.1822123067764,2.9142625715475616,0.3912139008746342,60.16183628250116,22,19,10,60,0,4,60
2022-09-01 23:00:00,18.95229226488958,13.240050207651535,207.70377748319095,2.782118246920918,0.4636037232105655,61.0870591158444,22,19,10,61,1,3,61
2022-09-02 00:00:00,18.52773883453317,12.940729317070232,206.3814120307009,2.6503192298447003,0.7076656212292475,65.15074827393329,22,19,10,65,1,3,65
2022-09-02 01:00:00,18.12684561813525,12.643939427143414,205.18702603438987,2.5118870127922817,1.0576879233652614,70.90589600999563,21,18,10,71,1,3,71
2022-09-02 02:00:00,17.996350147438513,12.51776226001067,204.25667063485395,2.3662620517641386,1.3743859753674026,76.57992550722892,21,18,10,77,2,3,77
2022-09-02 03:00:00,18.248983607306428,12.655779937406994,201.9949504277974,2.162921255191283,1.5239167070863289,81.52967688225122,21,18,10,82,2,3,82
2022-09-02 04:00:00,18.710050815969485,12.959812163979256,196.98692354376092,1.8666966592491168,1.4509358376866746,85.7993867317187,22,19,10,86,2,2,86
2022-09-02 05:00:00,19.03135074290469,13.195205725233496,190.01774095079375,1.518806855238884,1.2239116768013294,89.54125961801606,22,19,10,90,2,2,90
2022-09-02 06:00:00,18.820390347831207,13.07285535788656,183.7285503421188,1.2223871177485532,0.9801171035877878,92.75978220503336,22,19,9,93,1,2,93
2022-09-02 07:00:00,17.708124262509617,12.31427656381266,180.2579501779015,1.0796005511989015,0.8160626043910251,95.30209972511426,21,18,9,95,1,1,95
2022-09-02 08:00:00,15.658000088534491,10.893340294877104,179.80480093294403,1.1678907864580197,0.7329125588147773,96.67872872017584,18,16,9,97,1,1,97
2022-09-02 09:00:00,13.64142956054021,9.50061308550006,181.2570192895812,1.5098917241625465,0.7031707816980998,96.470504166121,16,14,9,96,1,2,96
2022-09-02 10:00:00,13.35647912417441,9.326380299637028,183.8237782828578,2.046749309692384,0.7356708457190434,94.87968630213574,16,13,9,95,1,3,95
2022-09-02 11:00:00,15.609553082406093,10.915263990480128,187.76318897602133,2.666250380436715,0.8534906550841886,92.79203809841113,18,16,9,93,1,3,93
2022-09-02 12:00:00,19.124345545546447,13.359721639792909,193.81818341405307,3.304631355982616,1.034762473731181,91.03858803593714,22,19,10,91,1,4,91
