date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,16.975595238095227,11.324880952380946,260.9607142857141,14.001309523809516,24.433571428571412,27.36785714285713,19,17,13,27,31,18,31
2022-09-02,23.90083333333332,14.851785714285706,216.4999999999999,15.180238095238087,16.973690476190466,49.50714285714283,25,24,11,50,21,19,50
2022-09-03,45.784999999999975,29.62571428571427,266.5380952380951,21.304642857142845,22.163333333333323,82.38690476190472,49,46,13,82,28,27,82
2022-09-04,42.779047619047596,28.211428571428556,294.49880952380937,21.417738095238082,22.800396825396813,92.98690476190471,47,43,15,93,29,27,93
2022-09-05,37.71571428571426,24.764285714285702,272.7630952380951,21.51392857142856,24.431746031746016,86.97380952380946,41,38,14,87,31,27,87
2022-09-06,43.401428571428546,28.793452380952363,309.2702380952379,20.781111111111098,24.539365079365066,85.59999999999995,48,43,15,86,31,26,86
2022-09-07,45.00749999999997,31.33666666666665,363.97103174603154,21.022261904761894,23.699563492063476,56.39285714285711,52,45,18,56,30,26,56
2022-09-08,32.128333333333316,22.34999999999999,324.23214285714266,17.840039682539672,24.691230158730146,33.552380952380936,37,32,16,34,31,22,37
2022-09-09,36.20619047619045,24.967619047619035,359.0869047619046,21.9286111111111,24.047579365079354,50.52976190476188,42,36,18,51,30,27,51
2022-09-10,31.76857142857141,21.47940476190475,329.28333333333313,17.410555555555543,25.571190476190463,43.45595238095236,36,32,16,43,32,22,43
2022-09-11,32.18107142857141,21.064047619047606,305.06111111111096,18.815158730158718,24.40940476190475,42.80238095238093,35,32,15,43,31,24,43
2022-09-12,37.182857142857124,23.711666666666655,271.2226190476189,21.088531746031734,22.947063492063478,61.50595238095235,40,37,14,62,29,26,62
