date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,113.67500000000001,67.94583333333334,854.2083333333334,43.99583333333334,31.92142857142857,57.166666666666664,126,109,43,57,40.0,55,126.0
2022-09-02,104.22916666666667,64.21249999999999,939.7777777777778,49.01666666666667,60.147619047619045,61.333333333333336,114,103,47,61,75.0,61,114.0
2022-09-03,80.44583333333334,45.77916666666667,924.7894736842105,42.958333333333336,37.204166666666666,47.791666666666664,76,80,46,48,47.0,54,80.0
2022-09-04,60.262499999999996,31.266666666666666,755.9583333333334,43.987500000000004,23.145833333333332,46.083333333333336,52,60,38,46,29.0,55,60.0
2022-09-05,109.45454545454545,58.352380952380955,542.8,54.916666666666664,33.6625,51.666666666666664,97,106,27,52,42.0,69,106.0
2022-09-06,130.77391304347827,75.87272727272727,786.6666666666666,66.39,41.07142857142857,59.541666666666664,153,121,39,60,51.0,83,153.0
2022-09-07,117.27499999999999,71.15416666666667,1376.4782608695652,66.96249999999999,52.629999999999995,76.91666666666667,137,112,69,77,66.0,84,137.0
2022-09-08,150.10833333333332,87.57619047619048,980.8,70.38,56.175,83.83333333333333,192,133,49,84,70.0,88,192.0
2022-09-09,126.10000000000001,85.94166666666666,1230.5238095238096,69.1421052631579,62.5625,89.75,186,117,62,90,78.0,86,186.0
2022-09-10,87.84166666666665,60.145833333333336,1010.4347826086956,60.36666666666667,53.833333333333336,76.375,100,88,51,76,67.0,75,100.0
2022-09-11,63.833333333333336,43.87916666666666,874.9166666666666,49.50833333333333,45.25833333333333,76.04166666666667,73,64,44,76,57.0,62,76.0
2022-09-12,75.09166666666667,51.949999999999996,1005.4285714285714,60.425000000000004,51.275,73.29166666666667,87,75,50,73,64.0,76,87.0
2022-09-13,36.9,24.391666666666666,519.7916666666666,36.395833333333336,34.3375,56.375,41,37,26,56,43.0,45,56.0
2022-09-14,29.21666666666667,19.383333333333333,435.2916666666667,32.2125,25.53333333333333,50.375,32,29,22,50,32.0,40,50.0
2022-09-15,45.24583333333334,31.412499999999998,914.8333333333334,49.8375,38.1875,43.208333333333336,52,45,46,43,48.0,62,62.0
2022-09-16,66.25,45.23333333333333,912.9583333333334,48.041666666666664,43.175000000000004,68.41666666666667,75,66,46,68,54.0,60,75.0
2022-09-17,105.41666666666667,70.13333333333334,1267.875,83.4875,63.40416666666667,74.21739130434783,134,104,63,74,79.0,103,134.0
2022-09-18,144.05652173913043,88.25238095238095,1165.5333333333333,80.22916666666667,52.54615384615385,74.625,194,129,58,75,66.0,100,194.0
2022-09-19,127.60000000000001,87.39583333333333,1206.75,70.94583333333334,44.2,73.875,191,118,60,74,55.0,89,191.0
2022-09-20,123.97916666666667,86.50833333333333,1216.4375,83.16666666666667,88.49,75.70833333333333,188,116,61,76,103.0,103,188.0
2022-09-21,118.1875,82.425,1425.9583333333333,73.74166666666666,71.09411764705882,79.29166666666667,175,112,71,79,89.0,92,175.0
2022-09-22,62.30833333333334,43.14166666666667,822.5416666666666,53.854166666666664,33.22083333333333,48.875,72,62,41,49,42.0,67,72.0
2022-09-23,42.0375,28.691666666666666,643.8333333333334,44.09583333333333,26.320833333333336,61.833333333333336,48,42,32,62,33.0,55,62.0
2022-09-24,40.483333333333334,27.45,634.6666666666666,47.137499999999996,27.995833333333334,47.125,46,40,32,47,35.0,59,59.0
2022-09-25,72.33749999999999,47.75833333333333,1038.5416666666667,54.60833333333333,41.275,62.0,80,72,52,62,52.0,68,80.0
2022-09-26,96.6375,58.60833333333333,1139.2916666666667,51.675000000000004,48.61304347826086,54.291666666666664,98,97,57,54,61.0,65,98.0
2022-09-27,134.00416666666666,75.05454545454546,767.5333333333333,59.637499999999996,38.86875,49.625,150,123,38,50,49.0,75,150.0
2022-09-28,127.79583333333333,82.59583333333333,1207.2222222222222,66.00833333333334,50.182352941176475,64.41666666666667,175,119,60,64,63.0,83,175.0
2022-09-29,130.24166666666667,85.90416666666665,1410.25,65.4375,49.14090909090908,70.5,186,120,71,70,61.0,82,186.0
2022-09-30,140.07083333333333,92.26666666666667,1522.0833333333333,67.825,50.75,70.5,208,127,76,70,63.0,85,208.0
2022-10-01,155.0,85.38947368421053,1043.8666666666666,70.71249999999999,45.1764705882353,57.083333333333336,185,137,52,57,56.0,88,185.0
2022-10-02,114.64166666666667,64.21363636363637,1006.7619047619048,58.9952380952381,38.95454545454545,61.958333333333336,114,110,50,62,49.0,74,114.0
2022-10-03,84.18333333333334,51.39166666666667,834.8333333333334,43.666666666666664,37.958333333333336,69.625,86,84,42,70,47.0,55,86.0
2022-10-04,124.15416666666665,84.47500000000001,811.2666666666667,67.25238095238095,47.361111111111114,67.45833333333333,182,116,41,67,59.0,84,182.0
2022-10-05,148.80416666666667,99.51739130434783,1401.0,85.64999999999999,64.61818181818182,56.61904761904762,232,133,70,57,81.0,106,232.0
2022-10-06,36.612500000000004,24.420833333333334,623.5416666666666,42.85833333333333,41.85,46.333333333333336,41,37,31,46,52.0,54,54.0
2022-10-07,36.19166666666667,24.133333333333336,583.4583333333334,37.5375,42.266666666666666,41.916666666666664,40,36,29,42,53.0,47,53.0
2022-10-08,36.199999999999996,25.245833333333334,596.1666666666666,37.42916666666667,27.900000000000002,24.0,42,36,30,24,35.0,47,47.0
2022-10-09,29.516666666666666,20.2625,523.75,39.90416666666667,34.354166666666664,31.291666666666668,34,30,26,31,43.0,50,50.0
2022-10-10,60.574999999999996,40.63333333333333,846.95,59.912499999999994,52.94583333333333,35.25,68,61,42,35,66.0,75,75.0
2022-10-11,62.975,43.6875,1031.625,58.162499999999994,53.10434782608696,57.791666666666664,73,63,52,58,66.0,73,73.0
2022-10-12,85.66250000000001,57.78333333333333,1285.4761904761904,59.24583333333334,53.25,53.333333333333336,96,86,64,53,67.0,74,96.0
2022-10-13,85.83333333333333,56.99583333333334,1117.1666666666667,61.637499999999996,46.48333333333333,51.708333333333336,95,86,56,52,58.0,77,95.0
2022-10-14,97.00833333333333,63.237500000000004,1096.375,52.145833333333336,42.800000000000004,65.54166666666667,111,97,55,66,54.0,65,111.0
2022-10-15,127.9470588235294,74.6,915.0769230769231,63.5,43.728571428571435,59.75,149,119,46,60,55.0,79,149.0
2022-10-16,173.03333333333333,117.02499999999999,1471.4166666666667,75.15625,70.48125,64.875,290,149,74,65,88.0,94,290.0
2022-10-17,156.125,107.22083333333335,1600.111111111111,84.66666666666667,59.35,65.20833333333333,257,137,80,65,74.0,105,257.0
2022-10-18,175.22083333333333,119.10434782608696,1433.0714285714287,75.92,49.48571428571428,51.5,297,150,72,52,62.0,95,297.0
2022-10-19,147.84583333333333,98.47391304347826,1572.6666666666667,95.02666666666667,65.71428571428571,46.875,228,132,79,47,82.0,115,228.0
2022-10-20,126.94166666666666,87.57916666666667,1719.7916666666667,92.44583333333333,67.96818181818182,51.541666666666664,192,118,86,52,85.0,112,192.0
2022-10-21,172.60833333333335,114.53636363636365,1536.5714285714287,90.74666666666667,67.45,55.916666666666664,282,148,77,56,84.0,111,282.0
2022-10-22,172.78,116.74000000000001,1229.111111111111,73.66315789473684,79.45714285714287,59.875,289,149,61,60,99.0,92,289.0
2022-10-23,160.11666666666667,108.29583333333333,1622.5882352941176,77.95416666666667,62.416666666666664,46.25,261,140,81,46,78.0,97,261.0
2022-10-24,97.64166666666667,63.79583333333333,893.8333333333334,51.8125,41.237500000000004,62.041666666666664,113,98,45,62,52.0,65,113.0
2022-10-25,127.64583333333333,82.925,1189.0833333333333,51.55833333333334,41.8304347826087,80.45833333333333,176,118,59,80,52.0,64,176.0
2022-10-26,199.02380952380952,128.16666666666666,1464.0833333333333,84.31875,65.60588235294118,59.416666666666664,306,166,73,59,82.0,104,306.0
2022-10-27,193.3923076923077,108.47777777777777,1215.0,85.25,64.44545454545454,53.0,262,162,61,53,81.0,105,262.0
2022-10-28,206.61999999999998,124.52857142857144,1456.375,99.1,74.14,54.125,303,171,73,54,93.0,119,303.0
2022-10-29,198.29999999999998,117.04,1209.25,73.63333333333334,59.00833333333333,57.166666666666664,290,166,60,57,74.0,92,290.0
2022-10-30,213.5857142857143,135.91764705882352,1541.4166666666667,84.32631578947368,63.05499999999999,58.541666666666664,312,176,77,59,79.0,104,312.0
2022-10-31,214.94285714285712,133.94,1592.3333333333333,83.67692307692307,66.72500000000001,62.083333333333336,311,177,80,62,83.0,104,311.0
2022-11-01,230.81176470588235,145.92727272727274,1652.4736842105262,99.15555555555555,,74.20833333333333,320,187,83,74,,119,320.0
2022-11-02,163.005,102.82631578947368,1049.9166666666667,56.42916666666667,49.95,84.375,243,142,52,84,62.0,71,243.0
2022-11-03,165.42916666666667,109.15416666666665,936.2857142857143,62.012499999999996,59.48181818181818,61.416666666666664,264,144,47,61,74.0,78,264.0
2022-11-04,226.93333333333334,143.19333333333333,1661.090909090909,108.23846153846154,81.18333333333332,56.458333333333336,318,185,83,56,100.0,128,318.0
2022-11-05,195.84583333333333,131.78333333333333,1439.0833333333333,87.8625,64.77727272727272,60.875,309,164,72,61,81.0,108,309.0
2022-11-06,219.3375,144.6,1821.375,95.23333333333333,72.42,31.833333333333332,319,180,91,32,91.0,115,319.0
2022-11-07,209.20454545454547,128.4625,1628.6923076923076,94.77083333333333,77.97142857142856,57.875,307,173,81,58,97.0,115,307.0
2022-11-08,176.47083333333333,120.1875,1309.6923076923076,72.825,67.58333333333333,38.666666666666664,300,151,65,39,84.0,91,300.0
2022-11-09,165.05625,102.63571428571429,1447.6666666666667,93.87222222222222,72.66666666666667,41.708333333333336,242,143,72,42,91.0,114,242.0
2022-11-10,154.34761904761905,100.74,1346.157894736842,66.64,61.39333333333333,65.91666666666667,236,136,67,66,77.0,83,236.0
2022-11-11,116.54166666666667,75.475,872.5,39.69166666666667,30.991666666666664,59.916666666666664,152,111,44,60,39.0,50,152.0
2022-11-12,109.89583333333333,70.10833333333333,888.0833333333334,42.94583333333333,33.6625,73.08333333333333,134,107,44,73,42.0,54,134.0
2022-11-13,146.70454545454547,72.80588235294118,919.4285714285714,69.7125,36.228571428571435,48.916666666666664,143,131,46,49,45.0,87,143.0
2022-11-14,126.07916666666667,84.24583333333334,881.0952380952381,64.60000000000001,59.05714285714286,60.375,181,117,44,60,74.0,81,181.0
2022-11-15,128.4375,85.26666666666667,891.4736842105264,61.512499999999996,50.15384615384615,48.416666666666664,184,119,45,48,63.0,77,184.0
2022-11-16,109.89999999999999,69.31666666666666,688.9166666666666,35.7,31.6375,66.66666666666667,131,107,34,67,40.0,45,131.0
2022-11-17,117.45416666666667,73.28333333333333,837.125,40.170833333333334,31.02916666666667,72.54166666666667,144,112,42,73,39.0,50,144.0
2022-11-18,141.1875,94.55833333333334,1028.2307692307693,67.28750000000001,39.76428571428572,54.166666666666664,215,127,51,54,50.0,84,215.0
2022-11-19,145.15833333333333,93.2695652173913,1075.125,57.4125,73.26666666666667,61.875,211,130,54,62,92.0,72,211.0
2022-11-20,104.23333333333333,66.90416666666667,772.75,42.6875,51.44705882352941,77.54166666666667,123,103,39,78,64.0,53,123.0
2022-11-21,90.44583333333333,56.86666666666667,868.125,43.62083333333334,40.74285714285715,71.125,95,90,43,71,51.0,55,95.0
2022-11-22,86.29583333333333,55.175000000000004,961.6666666666666,48.5625,30.78333333333333,69.375,92,86,48,69,38.0,61,92.0
2022-11-23,94.05,59.69166666666666,1172.875,52.07916666666667,29.254166666666666,66.0,99,94,59,66,37.0,65,99.0
