date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,18.05,12.054166666666667,154.125,8.658823529411764,8.28125,33.208333333333336,20.0,18.0,8.0,33,10.0,11.0,33.0
2022-09-02,26.754166666666666,17.579166666666666,181.41666666666666,4.415384615384616,7.984615384615385,66.33333333333333,29.0,27.0,9.0,66,10.0,6.0,66.0
2022-09-03,37.875,25.604166666666668,212.75,7.8500000000000005,14.185714285714285,78.41666666666667,43.0,38.0,11.0,78,18.0,10.0,78.0
2022-09-04,32.083333333333336,21.441666666666666,188.91666666666666,6.338888888888889,13.754545454545456,92.58333333333333,36.0,32.0,9.0,93,17.0,8.0,93.0
2022-09-05,31.45,21.079166666666666,195.45833333333334,7.36875,18.794117647058822,87.33333333333333,35.0,31.0,10.0,87,23.0,9.0,87.0
2022-09-06,39.625,26.775000000000002,218.66666666666666,9.070588235294117,17.442857142857143,90.83333333333333,45.0,40.0,11.0,91,22.0,11.0,91.0
2022-09-07,31.412499999999998,21.7625,230.0,13.133333333333333,21.4,57.375,36.0,31.0,12.0,57,27.0,16.0,57.0
2022-09-08,26.679166666666664,18.366666666666667,207.75,11.26923076923077,23.8625,54.541666666666664,31.0,27.0,10.0,55,30.0,14.0,55.0
2022-09-09,33.69166666666667,22.983333333333334,242.66666666666666,10.9,18.942857142857143,54.416666666666664,38.0,34.0,12.0,54,24.0,14.0,54.0
2022-09-10,25.416666666666668,17.104166666666668,207.16666666666666,12.67,21.166666666666668,48.791666666666664,29.0,25.0,10.0,49,26.0,16.0,49.0
2022-09-11,27.1875,17.816666666666666,198.95833333333334,13.672727272727274,17.7125,46.041666666666664,30.0,27.0,10.0,46,22.0,17.0,46.0
2022-09-12,29.25,18.7625,180.91666666666666,11.59375,16.942857142857143,58.875,31.0,29.0,9.0,59,21.0,14.0,59.0
2022-09-13,34.862500000000004,21.77916666666667,182.125,8.942105263157895,13.309999999999999,78.875,36.0,35.0,9.0,79,17.0,11.0,79.0
2022-09-14,34.1,21.516666666666666,179.04166666666666,6.725,12.80909090909091,71.16666666666667,36.0,34.0,9.0,71,16.0,8.0,71.0
2022-09-15,46.916666666666664,30.554166666666664,219.79166666666666,9.578571428571427,13.866666666666667,90.0,51.0,47.0,11.0,90,17.0,12.0,90.0
2022-09-16,51.833333333333336,33.75833333333333,244.91666666666666,10.242857142857144,15.75,95.54166666666667,56.0,52.0,12.0,96,20.0,13.0,96.0
2022-09-17,49.612500000000004,31.26521739130435,234.5,8.981250000000001,16.844444444444445,92.375,52.0,50.0,12.0,92,21.0,11.0,92.0
2022-09-18,52.020833333333336,34.42916666666667,276.4166666666667,10.43125,20.053846153846152,87.66666666666667,57.0,52.0,14.0,88,25.0,13.0,88.0
2022-09-19,48.06521739130435,30.781818181818185,261.8333333333333,11.977777777777778,18.39090909090909,71.25,51.0,48.0,13.0,71,23.0,15.0,71.0
2022-09-20,46.1875,29.21666666666667,235.16666666666666,10.492307692307692,15.100000000000001,66.58333333333333,49.0,46.0,12.0,67,19.0,13.0,67.0
2022-09-21,43.90416666666667,27.454166666666666,242.75,9.6125,16.821428571428573,90.95833333333333,46.0,44.0,12.0,91,21.0,12.0,91.0
2022-09-22,47.64166666666667,30.425,247.25,9.727777777777778,17.3875,96.625,51.0,48.0,12.0,97,22.0,12.0,97.0
2022-09-23,47.791666666666664,30.7375,250.33333333333334,9.236363636363636,17.527272727272727,90.79166666666667,51.0,48.0,13.0,91,22.0,12.0,91.0
2022-09-24,33.395833333333336,21.254166666666666,205.70833333333334,5.731578947368422,7.423809523809524,94.91666666666667,35.0,33.0,10.0,95,9.0,7.0,95.0
2022-09-25,32.7125,21.108333333333334,190.79166666666666,4.1000000000000005,8.833333333333334,107.375,35.0,33.0,10.0,111,11.0,5.0,111.0
2022-09-26,41.25833333333333,27.241666666666664,204.04166666666666,5.9350000000000005,9.773913043478261,90.16666666666667,45.0,41.0,10.0,90,12.0,7.0,90.0
2022-09-27,55.30416666666667,36.09166666666667,249.5,5.476470588235294,17.163636363636364,117.58333333333333,60.0,55.0,12.0,126,21.0,7.0,126.0
2022-09-28,63.895833333333336,40.76190476190476,266.4166666666667,11.585714285714285,24.733333333333334,124.33333333333333,68.0,64.0,13.0,136,31.0,14.0,136.0
2022-09-29,54.458333333333336,35.9,276.6666666666667,9.25263157894737,12.505263157894737,109.41666666666667,60.0,54.0,14.0,114,16.0,12.0,114.0
2022-09-30,39.75,26.895833333333332,237.41666666666666,9.24,9.433333333333334,72.66666666666667,45.0,40.0,12.0,73,12.0,12.0,73.0
2022-10-01,15.970833333333333,10.979166666666666,161.33333333333334,7.458333333333333,5.408333333333334,53.291666666666664,18.0,16.0,8.0,53,7.0,9.0,53.0
2022-10-02,29.537499999999998,20.520833333333332,252.20833333333334,6.739999999999999,6.716666666666666,63.791666666666664,34.0,30.0,13.0,64,8.0,8.0,64.0
2022-10-03,45.48333333333333,31.34583333333333,258.85714285714283,7.86,8.25,68.66666666666667,52.0,45.0,13.0,69,10.0,10.0,69.0
2022-10-04,50.425000000000004,34.358333333333334,279.9583333333333,7.118181818181818,11.125,68.08333333333333,57.0,50.0,14.0,68,14.0,9.0,68.0
2022-10-05,49.675000000000004,33.891666666666666,278.25,10.215789473684211,11.695,84.95833333333333,56.0,50.0,14.0,85,15.0,13.0,85.0
2022-10-06,34.96666666666667,24.045833333333334,249.08333333333334,,21.349999999999998,75.91666666666667,40.0,35.0,12.0,76,27.0,,76.0
2022-10-07,32.32083333333333,21.366666666666664,213.875,7.613333333333333,10.6,73.54166666666667,36.0,32.0,11.0,74,13.0,10.0,74.0
2022-10-08,49.6,32.09166666666667,302.75,10.261538461538462,19.11818181818182,93.83333333333333,53.0,50.0,15.0,94,24.0,13.0,94.0
2022-10-09,30.974999999999998,20.275,216.08333333333334,4.2,8.9125,100.45833333333333,34.0,31.0,11.0,101,11.0,5.0,101.0
2022-10-10,24.279166666666665,15.325000000000001,191.79166666666666,5.373913043478261,4.693333333333333,95.41666666666667,26.0,24.0,10.0,95,6.0,7.0,95.0
2022-10-11,17.208333333333332,10.404166666666667,141.5,3.3249999999999997,4.683333333333333,68.125,17.0,17.0,7.0,68,6.0,4.0,68.0
2022-10-12,27.150000000000002,16.5,173.5,5.306666666666667,9.982352941176472,80.70833333333333,28.0,27.0,9.0,81,12.0,7.0,81.0
2022-10-13,21.479166666666668,13.329166666666667,163.58333333333334,5.054545454545455,10.229166666666666,79.04166666666667,22.0,21.0,8.0,79,13.0,6.0,79.0
2022-10-14,28.895833333333332,18.866666666666667,208.41666666666666,6.175,11.946666666666665,103.08333333333333,31.0,29.0,10.0,105,15.0,8.0,105.0
2022-10-15,13.883333333333333,8.995833333333334,170.125,4.870833333333334,6.308333333333334,92.83333333333333,15.0,14.0,9.0,93,8.0,6.0,93.0
2022-10-16,16.058333333333334,9.991666666666665,147.41666666666666,4.7,5.825,86.5,17.0,16.0,7.0,86,7.0,6.0,86.0
2022-10-17,14.491666666666667,9.133333333333333,134.0,6.345833333333334,6.5249999999999995,67.66666666666667,15.0,14.0,7.0,68,8.0,8.0,68.0
2022-10-18,24.349999999999998,15.970833333333333,217.875,6.569565217391304,9.6,92.5,27.0,24.0,11.0,92,12.0,8.0,92.0
2022-10-19,27.245833333333334,17.95,288.875,7.325,11.633333333333333,98.125,30.0,27.0,14.0,98,15.0,9.0,98.0
2022-10-20,16.325,9.779166666666667,231.83333333333334,2.6166666666666667,2.845833333333333,89.58333333333333,16.0,16.0,12.0,90,4.0,3.0,90.0
2022-10-21,26.245833333333334,15.445833333333333,257.9583333333333,6.566666666666666,8.554166666666667,89.41666666666667,26.0,26.0,13.0,89,11.0,8.0,89.0
2022-10-22,46.175000000000004,27.233333333333334,337.8333333333333,6.6625000000000005,11.341666666666667,125.34782608695652,45.0,46.0,17.0,137,14.0,8.0,137.0
2022-10-23,47.94583333333333,31.90416666666667,344.1818181818182,6.0,16.878947368421052,120.73684210526316,53.0,48.0,17.0,130,21.0,8.0,130.0
2022-10-24,50.18333333333334,33.7875,267.77777777777777,3.676470588235294,10.338888888888889,129.5,56.0,50.0,13.0,143,13.0,5.0,143.0
2022-10-25,60.40833333333333,39.31666666666667,311.2631578947368,5.144444444444444,17.833333333333332,140.76470588235293,66.0,60.0,16.0,160,22.0,6.0,160.0
2022-10-26,51.0625,32.295833333333334,261.1666666666667,6.05,13.763157894736842,129.73333333333332,54.0,51.0,13.0,144,17.0,8.0,144.0
2022-10-27,37.0,22.03333333333333,246.21052631578948,7.025,14.754166666666668,106.04166666666667,37.0,37.0,12.0,109,18.0,9.0,109.0
