date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,16.255476190476184,11.29869047619047,199.95595238095225,3.4460714285714267,1.0494047619047613,73.12023809523805,19,16,10,73,1,4,73
2022-09-02,18.078809523809515,12.59869047619047,203.33095238095225,2.840119047619046,1.0648809523809517,85.73928571428566,21,18,10,86,1,4,86
2022-09-03,12.629404761904754,8.825476190476186,227.82976190476177,3.020952380952379,1.5059523809523803,88.17142857142852,15,13,11,88,2,4,88
2022-09-04,13.705476190476183,9.491309523809518,236.26904761904748,3.07690476190476,1.1898809523809517,92.01428571428566,16,14,12,92,1,4,92
2022-09-05,10.367380952380946,7.22523809523809,215.8440476190475,3.2597619047619033,0.8523809523809519,82.52619047619042,12,10,11,83,1,4,83
2022-09-06,11.075952380952375,7.753928571428567,217.58928571428558,4.404761904761902,0.7302380952380948,66.16904761904759,13,11,11,66,1,6,66
2022-09-07,12.873214285714278,8.950357142857138,188.8440476190475,3.141071428571427,0.5826190476190473,55.7833333333333,15,13,9,56,1,4,56
2022-09-08,13.239404761904753,9.250357142857139,216.1095238095237,2.004047619047618,0.5128571428571426,71.14404761904758,15,13,11,71,1,3,71
2022-09-09,17.257738095238086,12.048333333333327,215.84166666666655,2.233690476190475,0.9902380952380948,80.26309523809519,20,17,11,80,1,3,80
2022-09-10,13.739999999999993,9.598690476190471,232.33928571428558,2.061666666666665,0.9579761904761899,81.22619047619044,16,14,12,81,1,3,81
2022-09-11,10.51869047619047,7.310357142857138,219.72738095238083,2.830714285714284,0.9055952380952376,70.39404761904758,12,11,11,70,1,4,70
2022-09-12,7.884880952380947,5.473809523809521,144.6166666666666,2.6694047619047603,0.8041666666666663,52.924999999999976,9,8,7,53,1,3,53
2022-09-13,7.785357142857138,5.449761904761902,150.8654761904761,3.451190476190474,0.8263095238095234,46.46071428571426,9,8,8,46,1,4,46
2022-09-14,9.705595238095233,6.754642857142854,162.40833333333325,2.7188095238095222,1.0066666666666662,65.33928571428568,11,10,8,65,1,3,65
