time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01 00:00:00,18.75999999999999,13.039999999999992,218.142857142857,2.1914285714285704,1.5085714285714276,75.08571428571423,22,19,11,75,2,3,75
2022-09-01 01:00:00,16.25999999999999,11.33428571428571,212.08571428571412,2.234285714285713,1.617142857142856,74.65714285714282,19,16,11,75,2,3,75
2022-09-01 02:00:00,13.56857142857142,9.431428571428564,200.57142857142844,2.265714285714284,1.808571428571428,74.3428571428571,16,14,10,74,2,3,74
2022-09-01 03:00:00,12.75714285714285,8.799999999999994,188.942857142857,2.2085714285714277,1.848571428571428,74.99999999999996,15,13,9,75,2,3,75
2022-09-01 04:00:00,13.079999999999991,9.014285714285707,179.48571428571418,1.9828571428571415,1.6085714285714277,76.8285714285714,15,13,9,77,2,2,77
2022-09-01 05:00:00,12.731428571428562,8.842857142857136,172.74285714285702,1.7085714285714275,1.1999999999999993,79.25714285714281,15,13,9,79,1,2,79
2022-09-01 06:00:00,13.50857142857142,9.425714285714278,169.7714285714285,1.5085714285714276,0.9342857142857136,81.74285714285709,16,14,8,82,1,2,82
2022-09-01 07:00:00,15.559999999999992,10.80571428571428,172.8285714285713,1.4914285714285704,0.8828571428571423,84.17142857142852,18,16,9,84,1,2,84
2022-09-01 08:00:00,17.23714285714285,11.931428571428564,181.59999999999988,1.7257142857142846,1.0257142857142851,85.99999999999994,20,17,9,86,1,2,86
2022-09-01 09:00:00,16.73714285714285,11.551428571428564,189.7999999999999,2.182857142857141,1.165714285714285,86.82857142857138,19,17,9,87,1,3,87
2022-09-01 10:00:00,15.854285714285709,10.928571428571422,194.68571428571417,2.7914285714285696,1.1914285714285706,86.51428571428566,18,16,10,87,1,3,87
2022-09-01 11:00:00,14.594285714285707,10.057142857142852,193.1999999999999,3.5342857142857125,1.125714285714285,82.62857142857138,17,15,10,83,1,4,83
2022-09-01 12:00:00,14.137142857142848,9.797142857142852,193.3999999999999,4.348571428571426,1.0999999999999994,77.45714285714281,16,14,10,77,1,5,77
2022-09-01 13:00:00,14.654285714285704,10.191428571428569,199.48571428571412,5.251428571428569,1.0828571428571423,72.39999999999996,17,15,10,72,1,7,72
2022-09-01 14:00:00,16.271428571428565,11.319999999999991,212.5142857142856,6.268571428571425,0.9999999999999994,68.7428571428571,19,16,11,69,1,8,69
2022-09-01 15:00:00,17.51714285714285,12.234285714285708,221.542857142857,6.95428571428571,0.9171428571428566,65.68571428571425,20,18,11,66,1,9,66
2022-09-01 16:00:00,18.18571428571428,12.702857142857136,223.42857142857127,6.817142857142853,0.8999999999999995,64.57142857142853,21,18,11,65,1,9,65
2022-09-01 17:00:00,17.622857142857132,12.291428571428565,218.74285714285705,5.874285714285712,0.8828571428571425,65.3428571428571,20,18,11,65,1,7,65
2022-09-01 18:00:00,17.194285714285705,11.939999999999992,213.59999999999988,4.911428571428568,0.808571428571428,65.48571428571424,20,17,11,65,1,6,65
