date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI
2022-09-01,26.925,18.479166666666668,227.41666666666666,6.409090909090909,3.0666666666666664,73.70833333333333,31.0,27,11,74,4,8,74.0
2022-09-02,26.03333333333333,18.220833333333335,257.125,3.6666666666666665,4.120833333333334,62.083333333333336,30.0,26,13,62,5,5,62.0
2022-09-03,32.13333333333333,22.320833333333336,262.875,4.266666666666667,9.975,89.79166666666667,37.0,32,13,90,12,5,90.0
2022-09-04,15.6,10.154166666666667,171.75,3.4458333333333333,1.5083333333333335,56.333333333333336,17.0,16,9,56,2,4,56.0
2022-09-05,15.520833333333334,9.995833333333334,149.41666666666666,5.075,0.9500000000000001,34.625,17.0,16,7,35,1,6,35.0
2022-09-06,26.308333333333334,16.708333333333332,203.375,4.37,4.491666666666666,51.833333333333336,28.0,26,10,52,6,5,52.0
2022-09-07,34.391666666666666,22.820833333333336,215.70833333333334,4.358333333333333,4.170833333333333,74.16666666666667,38.0,34,11,74,5,5,74.0
2022-09-08,37.50416666666667,26.008333333333336,211.33333333333334,4.341666666666667,2.75,75.91666666666667,43.0,38,11,76,3,5,76.0
2022-09-09,25.133333333333336,17.570833333333333,231.16666666666666,4.145833333333333,1.8375000000000001,72.29166666666667,29.0,25,12,72,2,5,72.0
2022-09-10,22.929166666666664,15.9375,242.45833333333334,5.333333333333333,2.4583333333333335,74.75,27.0,23,12,75,3,7,75.0
2022-09-11,20.008333333333333,13.941666666666668,290.8333333333333,4.083333333333333,5.241666666666666,97.04166666666667,23.0,20,15,97,7,5,97.0
2022-09-12,17.658333333333335,12.316666666666668,326.4166666666667,4.6625000000000005,5.8374999999999995,98.875,21.0,18,16,99,7,6,99.0
2022-09-13,8.741666666666667,6.104166666666667,275.75,9.534782608695652,5.8999999999999995,70.70833333333333,10.0,9,14,71,7,12,71.0
2022-09-14,7.083333333333333,4.908333333333333,191.0,6.42,4.608333333333333,54.375,8.0,7,10,54,6,8,54.0
2022-09-15,9.475,6.5,171.45833333333334,7.270833333333333,2.529166666666667,49.333333333333336,11.0,9,9,49,3,9,49.0
2022-09-16,7.558333333333334,5.1625,170.04166666666666,5.1454545454545455,1.8375000000000001,50.583333333333336,9.0,8,9,51,2,6,51.0
2022-09-17,13.141666666666666,8.883333333333333,184.08333333333334,6.545,4.2749999999999995,52.791666666666664,15.0,13,9,53,5,8,53.0
2022-09-18,16.308333333333334,10.366666666666667,168.5,5.125,1.7750000000000001,51.375,17.0,16,8,51,2,6,51.0
2022-09-19,20.233333333333334,12.379166666666668,147.95833333333334,3.1750000000000003,1.0166666666666666,56.333333333333336,21.0,20,7,56,1,4,56.0
2022-09-20,21.925,13.620833333333332,149.625,3.7916666666666665,0.7999999999999999,52.708333333333336,23.0,22,7,53,1,5,53.0
