date,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),pm2_5 (μg/m³)_subindex,pm10 (μg/m³)_subindex,carbon_monoxide (μg/m³)_subindex,ozone (μg/m³)_subindex,sulphur_dioxide (μg/m³)_subindex,nitrogen_dioxide (μg/m³)_subindex,AQI,Location,Urban/Rural,year,month,day,weekday,AQI_lag_1,AQI_lag_7,AQI_lag_14,AQI_lag_30,AQI_7day_avg,AQI_30day_avg
2022-09-01,16.975595238095227,11.324880952380946,260.9607142857141,14.001309523809516,24.43357142857141,27.36785714285713,19,17,13,27,31,18,31,Chennai,Urban,2022,9,1,3,,,,,31.0,31.0
2022-09-02,23.90083333333332,14.851785714285706,216.4999999999999,15.180238095238089,16.973690476190466,49.50714285714283,25,24,11,50,21,19,50,Chennai,Urban,2022,9,2,4,31.0,,,,40.5,40.5
2022-09-03,45.784999999999975,29.62571428571427,266.5380952380951,21.304642857142845,22.163333333333323,82.38690476190472,49,46,13,82,28,27,82,Chennai,Urban,2022,9,3,5,50.0,,,,54.333333333333336,54.333333333333336
2022-09-04,42.7790476190476,28.21142857142856,294.49880952380937,21.41773809523808,22.800396825396813,92.98690476190473,47,43,15,93,29,27,93,Chennai,Urban,2022,9,4,6,82.0,,,,64.0,64.0
2022-09-05,37.71571428571426,24.764285714285705,272.7630952380951,21.51392857142856,24.431746031746016,86.97380952380946,41,38,14,87,31,27,87,Chennai,Urban,2022,9,5,0,93.0,,,,68.6,68.6
2022-09-06,43.40142857142855,28.793452380952363,309.2702380952379,20.78111111111109,24.539365079365066,85.59999999999995,48,43,15,86,31,26,86,Chennai,Urban,2022,9,6,1,87.0,,,,71.5,71.5
2022-09-07,45.00749999999997,31.33666666666665,363.97103174603154,21.02226190476189,23.69956349206348,56.39285714285711,52,45,18,56,30,26,56,Chennai,Urban,2022,9,7,2,86.0,,,,69.28571428571429,69.28571428571429
2022-09-08,32.12833333333332,22.34999999999999,324.23214285714266,17.840039682539672,24.691230158730143,33.552380952380936,37,32,16,34,31,22,37,Chennai,Urban,2022,9,8,3,56.0,31.0,,,70.14285714285714,65.25
2022-09-09,36.20619047619045,24.967619047619035,359.0869047619046,21.9286111111111,24.04757936507936,50.52976190476188,42,36,18,51,30,27,51,Chennai,Urban,2022,9,9,4,37.0,50.0,,,70.28571428571429,63.666666666666664
2022-09-10,31.76857142857141,21.47940476190475,329.28333333333313,17.410555555555543,25.571190476190463,43.45595238095236,36,32,16,43,32,22,43,Chennai,Urban,2022,9,10,5,51.0,82.0,,,64.71428571428571,61.6
2022-09-11,32.18107142857141,21.064047619047606,305.06111111111096,18.81515873015872,24.40940476190475,42.80238095238093,35,32,15,43,31,24,43,Chennai,Urban,2022,9,11,6,43.0,93.0,,,57.57142857142857,59.90909090909091
2022-09-12,37.18285714285712,23.71166666666665,271.2226190476189,21.08853174603173,22.94706349206348,61.50595238095235,40,37,14,62,29,26,62,Chennai,Urban,2022,9,12,0,43.0,87.0,,,54.0,60.083333333333336
2022-09-13,38.0763095238095,23.769761904761893,244.2190476190475,18.34075396825396,21.882777777777765,77.07142857142853,40,38,12,77,27,23,77,Chennai,Urban,2022,9,13,1,62.0,86.0,,,52.714285714285715,61.38461538461539
2022-09-14,43.68869047619045,27.896428571428554,284.87738095238075,19.43825396825396,25.015119047619034,72.64404761904758,46,44,14,73,31,24,73,Chennai,Urban,2022,9,14,2,77.0,56.0,,,55.142857142857146,62.214285714285715
2022-09-15,56.437619047619016,36.39071428571427,332.8325396825395,21.43396825396824,22.75035714285713,76.90119047619044,61,56,17,77,28,27,77,Chennai,Urban,2022,9,15,3,73.0,37.0,31.0,,60.857142857142854,63.2
2022-09-16,60.62214285714282,39.50273809523807,323.417857142857,19.685476190476177,22.9695238095238,93.40833333333327,66,61,16,93,29,25,93,Chennai,Urban,2022,9,16,4,77.0,51.0,50.0,,66.85714285714286,65.0625
2022-09-17,60.70857142857139,39.954523809523785,335.4571428571426,20.09773809523808,23.112460317460304,82.64523809523804,67,61,17,83,29,25,83,Chennai,Urban,2022,9,17,5,93.0,43.0,82.0,,72.57142857142857,66.11764705882354
2022-09-18,51.191785714285686,34.002499999999976,316.12023809523794,18.48226190476189,23.824960317460302,78.65476190476186,57,51,16,79,30,23,79,Chennai,Urban,2022,9,18,6,83.0,43.0,93.0,,77.71428571428571,66.83333333333333
2022-09-19,45.817976190476166,30.10083333333332,320.3166666666665,18.356507936507928,25.74325396825396,48.24999999999997,50,46,16,48,32,23,50,Chennai,Urban,2022,9,19,0,79.0,62.0,87.0,,76.0,65.94736842105263
2022-09-20,49.00583333333331,30.97369047619046,303.3182539682538,17.909920634920624,26.77202380952379,53.82499999999997,52,49,15,54,33,22,54,Chennai,Urban,2022,9,20,1,50.0,77.0,86.0,,72.71428571428571,65.35
2022-09-21,39.7613095238095,24.60261904761904,303.89404761904746,19.353373015873004,23.103412698412683,78.99523809523805,41,40,15,79,29,24,79,Chennai,Urban,2022,9,21,2,54.0,73.0,56.0,,73.57142857142857,66.0
2022-09-22,50.13559523809521,31.475714285714265,338.35714285714266,18.2638492063492,28.01833333333332,83.43452380952375,52,50,17,83,35,23,83,Chennai,Urban,2022,9,22,3,79.0,77.0,37.0,,74.42857142857143,66.77272727272727
2022-09-23,44.75499999999997,28.335595238095223,317.90833333333313,21.112499999999983,26.27928571428569,88.7273809523809,47,45,16,89,33,26,89,Chennai,Urban,2022,9,23,4,83.0,93.0,51.0,,73.85714285714286,67.73913043478261
2022-09-24,30.6090476190476,19.22297619047617,251.86666666666653,17.72015873015872,19.8226984126984,65.19285714285711,32,31,13,65,25,22,65,Chennai,Urban,2022,9,24,5,89.0,83.0,43.0,,71.28571428571429,67.625
2022-09-25,40.11821428571427,25.80142857142856,316.6630952380951,19.42249999999999,23.89956349206348,88.07857142857138,43,40,16,88,30,24,88,Chennai,Urban,2022,9,25,6,65.0,79.0,43.0,,72.57142857142857,68.44
2022-09-26,36.00571428571427,24.023095238095223,270.11785714285696,18.886190476190468,22.20031746031745,80.2928571428571,40,36,14,80,28,24,80,Chennai,Urban,2022,9,26,0,88.0,50.0,62.0,,76.85714285714286,68.88461538461539
2022-09-27,39.01869047619045,25.314642857142843,253.9285714285713,18.854285714285705,26.27325396825396,101.597619047619,42,39,13,102,33,24,102,Chennai,Urban,2022,9,27,1,80.0,54.0,77.0,,83.71428571428571,70.11111111111111
2022-09-28,43.503095238095206,29.538809523809505,330.1162698412696,20.90976190476189,24.13420634920633,100.43452380952375,49,44,17,101,30,26,101,Chennai,Urban,2022,9,28,2,102.0,79.0,73.0,,86.85714285714286,71.21428571428571
2022-09-29,46.57238095238093,31.83071428571427,348.35396825396805,21.130873015873004,23.7776984126984,86.60714285714282,53,47,17,87,30,26,87,Chennai,Urban,2022,9,29,3,101.0,83.0,77.0,,87.42857142857143,71.75862068965517
2022-09-30,33.41749999999998,23.12535714285713,336.0777777777776,17.077261904761894,25.614047619047607,36.55714285714284,39,33,17,37,32,21,39,Chennai,Urban,2022,9,30,4,87.0,89.0,93.0,,80.28571428571429,70.66666666666667
2022-10-01,28.738809523809508,20.068690476190465,318.401984126984,17.612420634920625,24.52765873015872,39.75833333333331,33,29,16,40,31,22,40,Chennai,Urban,2022,10,1,5,39.0,65.0,83.0,31.0,76.71428571428571,70.96666666666667
2022-10-02,41.0140476190476,28.43571428571427,336.6309523809522,18.297380952380944,23.11480158730157,47.25714285714283,47,41,17,47,29,23,47,Chennai,Urban,2022,10,2,6,40.0,88.0,79.0,50.0,70.85714285714286,70.86666666666666
2022-10-03,58.07162698412696,38.51519841269839,348.28611111111087,19.546785714285704,26.995952380952364,44.80238095238093,64,58,17,45,34,24,64,Chennai,Urban,2022,10,3,0,47.0,80.0,50.0,82.0,68.57142857142857,70.26666666666667
2022-10-04,58.98682539682536,40.25325396825394,366.6373015873014,20.70638888888888,24.7220238095238,41.22261904761903,67,59,18,41,31,26,67,Chennai,Urban,2022,10,4,1,64.0,102.0,54.0,93.0,63.57142857142857,69.4
2022-10-05,59.1958333333333,40.7090476190476,365.6658730158728,14.697380952380945,21.534603174603163,49.36428571428568,68,59,18,49,27,18,68,Chennai,Urban,2022,10,5,2,67.0,101.0,79.0,87.0,58.857142857142854,68.76666666666667
2022-10-06,45.56130952380949,31.535238095238075,355.35873015872994,19.218849206349194,23.50349206349205,69.76547619047615,53,46,18,70,29,24,70,Chennai,Urban,2022,10,6,3,68.0,87.0,83.0,86.0,56.42857142857143,68.23333333333333
2022-10-07,46.00047619047617,30.69821428571427,370.363095238095,20.456785714285704,26.651547619047605,80.80595238095233,51,46,19,81,33,26,81,Chennai,Urban,2022,10,7,4,70.0,39.0,89.0,56.0,62.42857142857143,69.06666666666666
2022-10-08,53.63452380952378,35.37440476190474,383.28055555555534,23.22773809523808,22.911706349206337,86.1523809523809,59,54,19,86,29,29,86,Chennai,Urban,2022,10,8,5,81.0,40.0,65.0,37.0,69.0,70.7
2022-10-09,22.44785714285713,14.780238095238088,236.2666666666665,13.946031746031736,18.77892857142856,50.70595238095235,25,22,12,51,23,17,51,Chennai,Urban,2022,10,9,6,86.0,47.0,88.0,51.0,69.57142857142857,70.7
2022-10-10,23.30785714285713,15.01999999999999,270.88095238095224,17.3986111111111,16.035833333333326,57.14285714285711,25,23,14,57,20,22,57,Chennai,Urban,2022,10,10,0,51.0,64.0,80.0,43.0,68.57142857142857,71.16666666666667
2022-10-11,21.562738095238085,13.183095238095229,221.74166666666656,11.995476190476184,15.20047619047618,50.43333333333331,22,22,11,50,19,15,50,Chennai,Urban,2022,10,11,1,57.0,67.0,102.0,43.0,66.14285714285714,71.4
2022-10-12,34.51083333333332,21.413214285714275,277.05039682539666,21.25333333333332,21.221587301587288,75.1380952380952,36,35,14,75,27,27,75,Chennai,Urban,2022,10,12,2,50.0,68.0,101.0,62.0,67.14285714285714,71.83333333333333
2022-10-13,29.893809523809505,19.6170238095238,308.38095238095224,18.8486111111111,21.001785714285703,81.53333333333329,33,30,15,82,26,24,82,Chennai,Urban,2022,10,13,3,75.0,70.0,87.0,77.0,68.85714285714286,72.0
2022-10-14,24.18333333333332,15.937142857142849,287.36547619047604,18.799365079365067,19.10765873015872,65.43690476190473,27,24,14,65,24,23,65,Chennai,Urban,2022,10,14,4,82.0,81.0,39.0,73.0,66.57142857142857,71.73333333333333
2022-10-15,23.149999999999988,14.897261904761896,265.0956349206347,19.96499999999999,18.29392857142856,70.38571428571424,25,23,13,70,23,25,70,Chennai,Urban,2022,10,15,5,65.0,86.0,40.0,77.0,64.28571428571429,71.5
2022-10-16,17.174642857142846,10.844285714285707,224.57261904761893,14.62404761904761,17.66031746031745,49.96071428571426,18,17,11,50,22,18,50,Chennai,Urban,2022,10,16,6,70.0,51.0,47.0,93.0,64.14285714285714,70.06666666666666
2022-10-17,19.123333333333324,12.477023809523802,197.58333333333323,16.40238095238094,23.65380952380951,43.128571428571405,21,19,10,43,30,21,43,Chennai,Urban,2022,10,17,0,50.0,57.0,64.0,83.0,62.142857142857146,68.73333333333333
2022-10-18,26.91261904761903,17.56511904761904,251.65595238095224,18.648492063492053,22.927658730158715,42.78333333333331,29,27,13,43,29,23,43,Chennai,Urban,2022,10,18,1,43.0,50.0,67.0,79.0,61.142857142857146,67.53333333333333
2022-10-19,28.398095238095223,17.976904761904752,280.0595238095237,12.30666666666666,20.97904761904761,110.5916666666666,30,28,14,116,26,15,116,Chennai,Urban,2022,10,19,2,43.0,75.0,68.0,50.0,67.0,69.73333333333333
2022-10-20,21.996547619047604,12.88321428571428,230.0380952380951,9.8097619047619,17.745357142857134,72.66547619047616,21,22,12,73,22,12,73,Chennai,Urban,2022,10,20,3,116.0,82.0,70.0,54.0,65.71428571428571,70.36666666666666
2022-10-21,35.871071428571405,21.232976190476176,269.017857142857,9.293809523809518,14.694920634920628,104.5071428571428,35,36,13,107,18,12,107,Chennai,Urban,2022,10,21,4,73.0,65.0,81.0,79.0,71.71428571428571,71.3
2022-10-22,55.62416666666664,32.58202380952379,383.87976190476166,15.065952380952371,17.519761904761896,133.89880952380943,54,56,19,150,22,19,150,Chennai,Urban,2022,10,22,5,107.0,70.0,86.0,83.0,83.14285714285714,73.53333333333333
2022-10-23,45.56749999999997,30.622261904761885,374.8900793650792,17.335912698412688,24.999880952380938,121.34404761904754,51,46,19,131,31,22,131,Chennai,Urban,2022,10,23,6,150.0,50.0,51.0,89.0,94.71428571428571,74.93333333333334
2022-10-24,54.240714285714255,37.32047619047617,342.39880952380935,18.80265873015872,23.63615079365078,103.40119047619042,62,54,17,105,30,24,105,Chennai,Urban,2022,10,24,0,131.0,43.0,57.0,65.0,103.57142857142857,76.26666666666667
2022-10-25,59.76313492063488,40.4224603174603,384.3234126984125,18.51829365079364,22.908095238095225,115.03452380952376,67,60,19,122,29,23,122,Chennai,Urban,2022,10,25,1,105.0,43.0,50.0,88.0,114.85714285714286,77.4
2022-10-26,43.1288095238095,27.279404761904743,325.74047619047604,21.99845238095237,17.473928571428562,115.90119047619042,45,43,16,123,22,27,123,Chennai,Urban,2022,10,26,2,122.0,116.0,75.0,80.0,115.85714285714286,78.83333333333333
2022-10-27,31.943571428571413,18.68940476190475,257.57976190476177,15.845238095238086,10.245833333333328,89.70952380952376,31,32,13,90,13,20,90,Chennai,Urban,2022,10,27,3,123.0,73.0,82.0,102.0,118.28571428571429,78.43333333333334
2022-10-28,32.32214285714284,18.404642857142846,241.0821428571427,13.780952380952373,10.679999999999993,82.12261904761901,31,32,12,82,13,17,82,Chennai,Urban,2022,10,28,4,90.0,107.0,65.0,101.0,114.71428571428571,77.8
2022-10-29,54.74178571428568,30.248690476190458,270.6392857142856,17.181309523809514,14.050952380952372,112.90833333333326,50,55,14,119,18,21,119,Chennai,Urban,2022,10,29,5,82.0,150.0,70.0,87.0,110.28571428571429,78.86666666666666
2022-10-30,74.09178571428568,42.65619047619045,295.50238095238075,13.577261904761896,13.24154761904761,132.51071428571422,71,74,15,148,17,17,148,Chennai,Urban,2022,10,30,6,119.0,131.0,50.0,39.0,112.71428571428571,82.5
2022-10-31,52.27690476190472,31.961309523809504,289.14880952380935,14.71047619047618,10.313571428571423,110.09047619047612,53,52,14,115,13,18,115,Chennai,Urban,2022,10,31,0,148.0,105.0,43.0,40.0,114.14285714285714,85.0
2022-11-01,24.95821428571428,16.136428571428564,269.30476190476173,16.350039682539673,9.573333333333329,63.559523809523775,27,25,13,64,12,20,64,Chennai,Urban,2022,11,1,1,115.0,122.0,43.0,47.0,105.85714285714286,85.56666666666666
2022-11-02,18.960833333333323,11.716904761904756,259.24047619047604,14.525119047619038,8.64023809523809,67.96190476190472,20,19,13,68,11,18,68,Chennai,Urban,2022,11,2,2,64.0,123.0,116.0,64.0,98.0,85.7
2022-11-03,21.051547619047607,12.691190476190467,291.3142857142855,14.17464285714285,11.567261904761898,62.934523809523775,21,21,15,63,14,18,63,Chennai,Urban,2022,11,3,3,68.0,90.0,73.0,67.0,94.14285714285714,85.56666666666666
2022-11-04,23.485595238095225,14.127738095238088,323.6785714285713,12.581428571428566,12.797380952380946,52.73928571428568,24,23,16,53,16,16,53,Chennai,Urban,2022,11,4,4,63.0,82.0,107.0,68.0,90.0,85.06666666666666
2022-11-05,41.65035714285712,23.719880952380937,332.7273809523808,15.153333333333324,12.085952380952373,85.41666666666661,40,42,17,85,15,19,85,Chennai,Urban,2022,11,5,5,53.0,119.0,150.0,70.0,85.14285714285714,85.56666666666666
2022-11-06,51.71892857142854,28.9317857142857,321.0321428571427,16.478214285714277,10.508095238095231,101.7011904761904,48,52,16,103,13,21,103,Chennai,Urban,2022,11,6,6,85.0,148.0,131.0,81.0,78.71428571428571,86.3
2022-11-07,46.36071428571426,26.4367857142857,307.3321428571427,15.146309523809515,9.21273809523809,98.95952380952376,44,46,15,99,12,19,99,Chennai,Urban,2022,11,7,0,103.0,115.0,105.0,86.0,76.42857142857143,86.73333333333333
2022-11-08,39.58785714285712,22.9267857142857,282.3059523809522,14.323452380952371,9.04773809523809,81.24404761904758,38,40,14,81,11,18,81,Chennai,Urban,2022,11,8,1,99.0,64.0,122.0,51.0,78.85714285714286,87.73333333333333
2022-11-09,31.59011904761903,18.31547619047618,260.0464285714284,13.136309523809516,8.779999999999996,79.49523809523805,31,32,13,79,11,16,79,Chennai,Urban,2022,11,9,2,81.0,68.0,123.0,57.0,80.42857142857143,88.46666666666667
2022-11-10,39.78892857142855,22.240476190476176,226.5166666666665,9.865595238095231,7.379047619047615,91.96428571428568,37,40,11,92,9,12,92,Chennai,Urban,2022,11,10,3,79.0,63.0,90.0,50.0,84.57142857142857,89.86666666666666
2022-11-11,36.85797619047617,20.692976190476177,231.3392857142856,13.2020238095238,6.335595238095234,92.70952380952376,34,37,12,93,8,17,93,Chennai,Urban,2022,11,11,4,92.0,53.0,82.0,75.0,90.28571428571429,90.46666666666667
2022-11-12,17.34904761904761,10.206904761904756,215.92738095238084,10.7447619047619,8.283571428571424,54.14880952380949,17,17,11,54,10,13,54,Chennai,Urban,2022,11,12,5,93.0,85.0,119.0,82.0,85.85714285714286,89.53333333333333
2022-11-13,22.06083333333332,13.38559523809523,285.4023809523808,13.552142857142847,9.956547619047614,69.7428571428571,22,22,14,70,12,17,70,Chennai,Urban,2022,11,13,6,54.0,103.0,148.0,65.0,81.14285714285714,89.7
2022-11-14,72.74952380952377,44.38345238095236,383.4468253968252,16.74249999999999,13.268214285714278,103.45476190476184,74,73,19,105,17,21,105,Chennai,Urban,2022,11,14,0,70.0,99.0,115.0,70.0,82.0,90.86666666666666
2022-11-15,73.83011904761901,44.84523809523808,390.54880952380927,18.457261904761896,17.34749999999999,110.84404761904756,75,74,20,116,22,23,116,Chennai,Urban,2022,11,15,1,105.0,81.0,64.0,50.0,87.0,93.06666666666666
2022-11-16,80.8030952380952,48.934642857142826,365.9178571428569,20.9313492063492,20.00857142857142,118.89523809523804,82,81,18,128,25,26,128,Chennai,Urban,2022,11,16,2,116.0,79.0,68.0,43.0,94.0,95.9
2022-11-17,74.5101587301587,47.54440476190473,383.14523809523786,16.932539682539673,24.25761904761904,134.90357142857135,79,75,19,151,30,21,151,Chennai,Urban,2022,11,17,3,128.0,92.0,63.0,43.0,102.42857142857143,99.5
2022-11-18,77.54615079365074,45.3338095238095,360.64285714285694,16.913015873015862,18.89571428571428,137.57738095238088,76,78,18,155,24,21,155,Chennai,Urban,2022,11,18,4,151.0,93.0,53.0,116.0,111.28571428571429,100.8
2022-11-19,71.63797619047615,41.41261904761903,355.9119047619045,17.708055555555546,17.73297619047618,136.49285714285705,69,72,18,154,22,22,154,Chennai,Urban,2022,11,19,5,155.0,54.0,85.0,73.0,125.57142857142857,103.5
2022-11-20,61.93369047619044,41.369999999999976,304.0309523809522,16.981785714285703,21.80761904761904,119.96190476190468,69,62,15,129,27,21,129,Chennai,Urban,2022,11,20,6,154.0,70.0,103.0,107.0,134.0,104.23333333333333
2022-11-21,52.16416666666664,35.77488095238093,309.52976190476176,18.93734126984126,21.92035714285713,92.94642857142853,60,52,15,93,27,24,93,Chennai,Urban,2022,11,21,0,129.0,105.0,99.0,150.0,132.28571428571428,102.33333333333333
2022-11-22,41.50857142857141,27.154642857142843,315.87380952380937,17.990873015873007,18.49988095238094,82.18690476190471,45,42,16,82,23,22,82,Chennai,Urban,2022,11,22,1,93.0,116.0,81.0,131.0,127.42857142857143,100.7
2022-11-23,46.7263095238095,29.96083333333332,316.2583333333332,18.67857142857142,19.627698412698404,93.41071428571423,50,47,16,93,25,23,93,Chennai,Urban,2022,11,23,2,82.0,128.0,79.0,105.0,122.42857142857143,100.3
2022-11-24,40.52976190476189,26.250952380952366,287.4476190476189,16.911785714285703,21.736785714285705,77.33095238095234,44,41,14,77,27,21,77,Chennai,Urban,2022,11,24,3,93.0,151.0,92.0,122.0,111.85714285714286,98.8
2022-11-25,28.34583333333332,17.899166666666655,220.2380952380951,11.045833333333327,21.957896825396816,50.90952380952378,30,28,11,51,27,14,51,Chennai,Urban,2022,11,25,4,77.0,155.0,93.0,123.0,97.0,96.4
2022-11-26,49.31273809523807,31.26773809523808,339.66944444444425,14.47654761904761,17.27833333333332,87.12023809523805,52,49,17,87,22,18,87,Chennai,Urban,2022,11,26,5,51.0,154.0,54.0,90.0,87.42857142857143,96.3
2022-11-27,60.74218253968251,39.8563095238095,373.8817460317459,21.063412698412687,21.19281746031745,106.54880952380944,66,61,19,110,26,26,110,Chennai,Urban,2022,11,27,6,87.0,129.0,70.0,82.0,84.71428571428571,97.23333333333333
