latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.599998,77.80002,210.0,0,GMT,GMT

time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2022-09-01T00:00,81.3,52.4,1200.0,46.7,22.6,11.0
2022-09-01T01:00,77.1,48.2,1145.0,51.7,23.6,12.0
2022-09-01T02:00,75.0,46.3,1065.0,58.5,25.2,13.0
2022-09-01T03:00,75.0,44.4,926.0,60.3,28.6,30.0
2022-09-01T04:00,82.4,47.0,780.0,49.8,33.7,66.0
2022-09-01T05:00,80.6,43.9,609.0,33.2,40.0,115.0
2022-09-01T06:00,74.3,39.6,426.0,14.8,44.2,168.0
2022-09-01T07:00,68.9,36.1,360.0,8.4,40.4,188.0
2022-09-01T08:00,65.7,33.1,332.0,5.3,33.0,197.0
2022-09-01T09:00,64.5,31.2,312.0,4.8,24.4,196.0
2022-09-01T10:00,65.7,29.9,289.0,5.9,21.5,184.0
2022-09-01T11:00,63.8,28.5,272.0,9.1,20.1,163.0
2022-09-01T12:00,72.2,40.3,408.0,22.7,33.2,160.0
2022-09-01T13:00,88.2,52.7,553.0,49.1,35.7,126.0
2022-09-01T14:00,109.9,67.3,760.0,86.4,39.1,78.0
2022-09-01T15:00,129.5,80.3,983.0,121.9,42.0,26.0
2022-09-01T16:00,136.9,86.1,1055.0,123.6,41.3,12.0
2022-09-01T17:00,127.1,80.8,1082.0,112.9,39.2,9.0
2022-09-01T18:00,120.1,76.4,1084.0,97.0,36.3,9.0
2022-09-01T19:00,115.0,73.1,1065.0,88.8,35.4,8.0
2022-09-01T20:00,115.7,73.1,1024.0,80.3,34.8,9.0
2022-09-01T21:00,121.1,76.6,967.0,71.9,32.5,10.0
2022-09-01T22:00,127.1,81.0,938.0,70.7,28.2,6.0
2022-09-01T23:00,128.5,82.4,910.0,71.9,22.6,1.0
2022-09-02T00:00,85.7,55.8,722.0,40.9,30.1,17.0
2022-09-02T01:00,83.8,54.7,705.0,42.7,30.8,19.0
2022-09-02T02:00,78.2,50.6,680.0,45.0,31.6,22.0
2022-09-02T03:00,68.0,42.5,636.0,45.7,33.0,37.0
2022-09-02T04:00,68.5,41.6,591.0,42.6,35.1,61.0
2022-09-02T05:00,78.0,47.5,538.0,37.5,37.5,94.0
2022-09-02T06:00,73.3,43.7,468.0,29.5,37.9,134.0
2022-09-02T07:00,66.6,37.7,413.0,21.5,33.3,159.0
2022-09-02T08:00,64.5,35.7,357.0,12.2,26.3,182.0
2022-09-02T09:00,62.6,34.5,316.0,5.3,20.1,199.0
2022-09-02T10:00,61.5,33.4,317.0,5.9,21.1,200.0
2022-09-02T11:00,63.3,34.9,341.0,10.2,24.9,192.0
2022-09-02T12:00,64.0,37.1,374.0,19.2,23.0,163.0
2022-09-02T13:00,77.5,48.1,462.0,37.7,23.8,132.0
2022-09-02T14:00,87.8,56.0,588.0,63.8,25.0,88.0
2022-09-02T15:00,97.8,63.3,761.0,90.7,26.5,39.0
2022-09-02T16:00,107.3,69.8,883.0,96.9,27.6,22.0
