time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2022-09-01T00:00,11.4,8.0,353.0,3.8,0.4,93.0
2022-09-01T01:00,10.8,7.5,359.0,4.9,0.4,92.0
2022-09-01T02:00,10.9,7.7,367.0,6.7,0.4,90.0
2022-09-01T03:00,10.1,7.0,372.0,7.8,0.4,89.0
2022-09-01T04:00,9.5,6.7,365.0,6.8,0.3,92.0
2022-09-01T05:00,12.5,8.8,353.0,4.9,0.2,97.0
2022-09-01T06:00,9.3,6.5,341.0,3.0,0.2,101.0
2022-09-01T07:00,14.5,10.2,340.0,2.9,0.2,100.0
2022-09-01T08:00,14.1,9.9,343.0,3.4,0.2,97.0
2022-09-01T09:00,11.6,8.1,354.0,5.5,0.2,90.0
2022-09-01T10:00,11.4,8.0,370.0,9.1,0.2,81.0
2022-09-01T11:00,11.9,8.3,391.0,14.1,0.2,69.0
2022-09-01T12:00,15.5,10.9,378.0,15.8,0.4,70.0
2022-09-01T13:00,15.9,11.1,382.0,14.9,0.5,73.0
2022-09-01T14:00,17.3,12.1,387.0,13.9,0.6,78.0
2022-09-01T15:00,17.8,12.4,396.0,12.9,0.9,83.0
2022-09-01T16:00,18.2,12.7,405.0,13.1,0.9,83.0
2022-09-01T17:00,18.7,13.1,415.0,13.9,1.1,81.0
2022-09-01T18:00,19.1,13.4,425.0,14.1,1.2,79.0
2022-09-01T19:00,18.5,12.9,428.0,13.0,1.2,79.0
2022-09-01T20:00,19.6,13.7,428.0,11.2,1.3,78.0
2022-09-01T21:00,20.4,14.3,425.0,9.1,1.4,79.0
2022-09-01T22:00,20.4,14.3,421.0,7.9,1.4,80.0
2022-09-01T23:00,19.3,13.5,415.0,7.0,1.4,82.0
2022-09-02T00:00,13.2,9.3,409.0,5.9,0.7,79.0
2022-09-02T01:00,11.1,7.8,413.0,7.4,0.6,77.0
2022-09-02T02:00,9.6,6.7,419.0,9.5,0.4,74.0
2022-09-02T03:00,8.6,6.1,420.0,10.8,0.3,74.0
2022-09-02T04:00,8.5,5.9,409.0,9.3,0.2,80.0
2022-09-02T05:00,9.7,6.8,393.0,6.6,0.2,88.0
2022-09-02T06:00,10.9,7.6,374.0,3.7,0.2,97.0
2022-09-02T07:00,9.5,6.6,366.0,2.8,0.2,100.0
2022-09-02T08:00,11.2,7.9,361.0,2.5,0.2,102.0
2022-09-02T09:00,10.8,7.6,364.0,4.2,0.2,99.0
2022-09-02T10:00,10.9,7.7,378.0,8.4,0.2,89.0
2022-09-02T11:00,11.0,7.7,400.0,14.1,0.2,75.0
2022-09-02T12:00,15.7,11.0,405.0,15.4,0.2,68.0
2022-09-02T13:00,16.1,11.3,416.0,16.5,0.3,70.0
2022-09-02T14:00,16.6,11.6,433.0,18.0,0.4,74.0
2022-09-02T15:00,16.6,11.6,447.0,19.0,0.6,77.0
2022-09-02T16:00,16.5,11.6,445.0,18.4,0.6,78.0
2022-09-02T17:00,16.4,11.5,438.0,17.0,0.7,78.0
2022-09-02T18:00,16.4,11.5,427.0,14.8,0.8,78.0
2022-09-02T19:00,16.9,11.9,421.0,12.9,0.9,78.0
2022-09-02T20:00,17.5,12.3,416.0,10.9,0.9,78.0
2022-09-02T21:00,18.5,12.9,409.0,8.6,0.9,78.0
2022-09-02T22:00,18.3,12.8,404.0,7.6,0.9,78.0
2022-09-02T23:00,17.8,12.5,400.0,6.9,0.8,79.0
2022-09-03T00:00,22.6,15.9,432.0,8.1,0.9,72.0
2022-09-03T01:00,21.1,14.8,430.0,7.9,0.8,74.0
2022-09-03T02:00,17.9,12.5,427.0,7.8,0.6,76.0
2022-09-03T03:00,15.2,10.6,422.0,7.1,0.4,81.0
2022-09-03T04:00,15.4,10.7,417.0,6.1,0.3,87.0
2022-09-03T05:00,16.9,11.8,412.0,4.8,0.2,94.0
2022-09-03T06:00,17.9,12.5,408.0,3.5,0.2,102.0
2022-09-03T07:00,19.5,13.6,409.0,3.1,0.2,105.0
2022-09-03T08:00,16.2,11.4,412.0,2.9,0.2,106.0
2022-09-03T09:00,15.4,10.7,422.0,4.1,0.2,104.0
2022-09-03T10:00,17.1,12.0,434.0,6.8,0.3,99.0
2022-09-03T11:00,16.4,11.5,449.0,10.6,0.3,91.0
2022-09-03T12:00,16.5,11.6,485.0,17.2,0.4,74.0
2022-09-03T13:00,16.2,11.4,500.0,18.7,0.4,75.0
2022-09-03T14:00,15.7,11.0,522.0,20.8,0.6,76.0
2022-09-03T15:00,16.3,11.4,537.0,21.5,0.6,78.0
2022-09-03T16:00,16.1,11.3,526.0,19.1,0.8,82.0
