time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2022-09-01T00:00,108.5,68.9,1220,64.2,37,3
2022-09-01T01:00,89.4,55.9,1117,59.5,33.7,11
2022-09-01T02:00,82.9,51.9,970,52.8,28.9,22
2022-09-01T03:00,72.4,41.8,768,42.7,23.8,43
2022-09-01T04:00,68,36.9,622,33.8,22.8,67
2022-09-01T05:00,63.6,32.9,473,24,23,97
2022-09-01T06:00,62.2,31,323,14.2,23,127
2022-09-01T07:00,60.5,29,267,10.6,21.4,136
2022-09-01T08:00,59.6,27.5,246,9.2,19.2,139
2022-09-01T09:00,59.5,26.2,256,12.2,17.5,132
2022-09-01T10:00,59.4,24.7,242,19.5,17.1,118
2022-09-01T11:00,58.1,23.7,238,30.2,17.5,96
2022-09-01T12:00,67.5,34.5,468,38.1,74.6,93
2022-09-01T13:00,81.5,45.3,605,42.8,87.4,80
2022-09-01T14:00,112.7,66.4,801,49.6,105.4,61
2022-09-01T15:00,144.4,88.5,1026,56.4,122.7,40
2022-09-01T16:00,161.6,101,1115,57,122.1,33
2022-09-01T17:00,163,102.4,1170,55.5,115.1,30
2022-09-01T18:00,172.8,109,1242,55.3,110.3,25
2022-09-01T19:00,183.9,117.1,1320,59.3,117.2,17
2022-09-01T20:00,192.3,123.9,1403,65,128.5,9
2022-09-01T21:00,198.4,128.1,1492,70,141.5,0
2022-09-01T22:00,201.6,130.9,1541,68.8,147.4,-3
2022-09-01T23:00,204.4,133.2,1576,65.2,151.6,-4
2022-09-02T00:00,108,70.1,1004,52.8,89.7,4
2022-09-02T01:00,93.1,60.1,901,47.1,77.9,12
2022-09-02T02:00,86.1,55.6,754,38.9,61.2,25
2022-09-02T03:00,70.5,43.7,579,29,43.8,48
2022-09-02T04:00,67.1,39.3,491,23.2,38.8,75
2022-09-02T05:00,68.7,38.1,422,18.3,37.8,108
2022-09-02T06:00,68.2,36.4,371,15.6,41.5,142
2022-09-02T07:00,66.6,35.9,376,18,49.3,152
2022-09-02T08:00,68.7,37.7,411,23.1,60.8,155
2022-09-02T09:00,72.2,40.3,466,31.4,75.6,149
2022-09-02T10:00,71.2,39.5,493,37.8,83.5,138
2022-09-02T11:00,68.2,37,520,44.8,90.5,120
2022-09-02T12:00,63.1,35.3,505,54.5,27.5,89
2022-09-02T13:00,76.1,45.5,1003,57.8,37.3,76
2022-09-02T14:00,96.6,59.4,1716,62.5,51.5,58
2022-09-02T15:00,122,76.1,2635,67.9,70.2,37
2022-09-02T16:00,149.5,94.5,3262,70.3,84.6,28
2022-09-02T17:00,172.3,109.9,3868,71.9,99.2,21
2022-09-02T18:00,183,116.9,4280,72.7,108.1,14
